PMP,INDICE DE MANTENIMIENTO,SERVICIO,EQUIPO,MARCA,MODELO,SERIE,NIC,FRECUENCIA,MANTENIMIENTO INTERNO O MANTENIMIENTO EXTERNO O CONTRATO,PROVEEDOR,Inicio,Fín,FP,ESTADO,OBSERVACIONES
2025-1,13,CARDIOLOGÍA,Electrocardiógrafo,Trismed,CARDIPIA 400H,C400202070,IM074-21,1,INTERNO,EEMM,,,01. ENERO,1. PENDIENTE,
2025-1,13,URGENCIA ADULTO/PEDIÁTRICO,Electrocardiógrafo,Trismed,CARDIPIA 400H,C400202071,IM075-20,1,INTERNO,EEMM,,,01. ENERO,1. PENDIENTE,
2025-1,13,UNIDAD PACIENTE CRITICO (UPC),Electrocardiógrafo,TRISMED,CARDIPIA 400H,C400202072,IM076-20,1,INTERNO,EEMM,,,01. ENERO,1. PENDIENTE,
2025-1,13,URGENCIA ADULTO/PEDIÁTRICO,Electrocardiógrafo,Trismed,CARDIPIA 400H,C400202073,IM077-20,1,INTERNO,EEMM,,,01. ENERO,1. PENDIENTE,
2025-1,13,UNIDAD PACIENTE CRITICO (UPC),Electrocardiógrafo,Burdick,ATRIA 8500,E8500-001448,IM092-00,1,INTERNO,EEMM,,,01. ENERO,1. PENDIENTE,
2025-1,13,CIRUGIA,Electrocardiógrafo,Burdick,ATRIA 8500,E8500-001450,IM072-00,1,INTERNO,EEMM,,,01. ENERO,1. PENDIENTE,
2025-1,13,PEDIATRIA,Electrocardiógrafo,Burdick,ATRIA 8500,E8500-001451,IM083-00,1,INTERNO,EEMM,,,01. ENERO,1. PENDIENTE,
2025-1,13,PEDIATRIA,Electrocardiógrafo,Burdick,ATRIA 8500,E8500-001452,IM082-00,1,INTERNO,EEMM,,,01. ENERO,1. PENDIENTE,
2025-1,13,CARDIOLOGÍA,Electrocardiógrafo,Burdick,ATRIA 8501,E8500-001457,IM073-00,1,INTERNO,EEMM,,,01. ENERO,1. PENDIENTE,
2025-1,13,MEDICINA NUCLEAR,Electrocardiógrafo,Burdick,ATRIA 8502,E8500-001458,IM084-00,1,INTERNO,EEMM,,,01. ENERO,1. PENDIENTE,
2025-1,13,UROLOGIA,Electrocardiógrafo,Burdick,ATRIA 8500,E8500-001461,IM070-00,1,INTERNO,EEMM,,,01. ENERO,1. PENDIENTE,
2025-1,12,PARTOS/PREPARTOS,Cuna de Procedimiento,GE Healthcare,1502,86,IM117-00,2,CONVENIO,PV EQUIP,,,05. MAYO,4. EJECUTADO,
2026-1,12,PARTOS/PREPARTOS,Cuna de Procedimiento,GE Healthcare,1502,86,IM117-00,2,CONVENIO,PV EQUIP,,,05. MAYO,1. PENDIENTE,
2025-2,12,PARTOS/PREPARTOS,Cuna de Procedimiento,GE Healthcare,1502,86,IM117-00,2,CONVENIO,PV EQUIP,,,11. NOVIEMBRE,1. PENDIENTE,
2025-1,12,IMAGENOLOGIA,Inyectora Medio de Contraste,MEDRAD,STELLANT FLEX,122805,,1,COMODATO,SMARTVISION,,,01. ENERO,4. EJECUTADO,
2025-1,12,ANATOMIA PATOLOGICA,Centro de Inclusión,Leica,Arcadia H,7883,,1,GARANTIA,NEWPATH,01-01-2022,01-01-2025,03. MARZO,4. EJECUTADO,
2026-1,12,ANATOMIA PATOLOGICA,Centro de Inclusión,Leica,Arcadia H,7767,IM172-22,1,GARANTIA,NEWPATH,01-01-2022,01-01-2025,01. ENERO,1. PENDIENTE,
2026-1,12,ANATOMIA PATOLOGICA,Centro de Inclusión,Leica,Arcadia H,7883,,1,GARANTIA,NEWPATH,01-01-2022,01-01-2025,01. ENERO,1. PENDIENTE,
2025-1,13,ANATOMIA PATOLOGICA,Criostato,Leica,CM1860UV,3587,IM107-18,1,CONVENIO,NEWPATH,04-04-2024,04-04-2026,11. NOVIEMBRE,1. PENDIENTE,
2026-1,13,ANATOMIA PATOLOGICA,Criostato,Leica,CM1860UV,3587,IM107-18,1,CONVENIO,NEWPATH,,,11. NOVIEMBRE,1. PENDIENTE,
2025-1,17,PABELLÓN CENTRAL,Microscopio Qx Oftalmológico,LEICA,M822-F40,160822001,IM047-23,1,GARANTIA,OFTOMED,17-01-2023,17-01-2026,03. MARZO,4. EJECUTADO,
2026-1,17,PABELLÓN CENTRAL,Microscopio Qx Oftalmológico,LEICA,M822-F40,160822001,IM047-23,1,GARANTIA,OFTOMED,17-01-2023,17-01-2026,03. MARZO,1. PENDIENTE,
2025-1,12,ANATOMIA PATOLOGICA,Microscopio Universal,Leica, ,522044,IM052-23,1,GARANTIA,GALENICA,27-09-2023,27-09-2026,,1. PENDIENTE,
2026-1,13,CARDIOLOGÍA,Electrocardiógrafo,CARDIOLINE,ECG 100S,0512230D,IM087-24,1,INTERNO,EEMM,,,01. ENERO,1. PENDIENTE,
2026-1,13,URGENCIA ADULTO/PEDIÁTRICO,Electrocardiógrafo,CARDIOLINE,ECG 100L,0563230E,IM086-24,1,INTERNO,EEMM,,,01. ENERO,1. PENDIENTE,
2026-1,13,PABELLÓN CENTRAL,Electrocardiógrafo,Nihon Kohden,ECG-1150,07344K,IM094-00,1,INTERNO,EEMM,,,01. ENERO,1. PENDIENTE,
2026-1,13,UNIDAD PACIENTE CRITICO (UPC),Electrocardiógrafo,Schiller,CARDIOVIT-FT1,1060000959,IM093-00,1,INTERNO,EEMM,,,01. ENERO,1. PENDIENTE,
2026-1,13,CDT - POLICLINICO DE PEDIATRIA,Electrocardiógrafo,Schiller,CARDIOVIT-FT1,1060000961,IM097-00,1,INTERNO,EEMM,,,01. ENERO,1. PENDIENTE,
2026-1,13,URGENCIA ADULTO/PEDIÁTRICO,Electrocardiógrafo,CARDIOLINE,ECG 100S,122308,IM085-24,1,INTERNO,EEMM,,,01. ENERO,1. PENDIENTE,
2026-1,13,MEDICINA,Electrocardiógrafo,EDAN,SE-1200,460016-M22512510008,IM079-23,1,INTERNO,EEMM,,,01. ENERO,1. PENDIENTE,
2026-1,13,MEDICINA,Electrocardiógrafo,EDAN,SE-1200,460016-M22512510009,IM078-23,1,INTERNO,EEMM,,,01. ENERO,1. PENDIENTE,
2026-1,13,NEUROCIRUGIA/NEUROLOGIA,Electrocardiógrafo,COMEN MEDICAL,CM 1200,90120917016U,IM071-00,1,INTERNO,EEMM,,,01. ENERO,1. PENDIENTE,
2026-1,13,GINECOLOGIA Y OBSTETRICIA,Electrocardiógrafo,Burdick,ATRIA 3100,A3100-010008,IM069-00,1,INTERNO,EEMM,,,01. ENERO,1. PENDIENTE,
2026-1,13,CARDIOLOGÍA,Electrocardiógrafo,Trismed,CARDIPIA 400H,C400202070,IM074-21,1,INTERNO,EEMM,,,01. ENERO,1. PENDIENTE,
2026-1,13,URGENCIA ADULTO/PEDIÁTRICO,Electrocardiógrafo,Trismed,CARDIPIA 400H,C400202071,IM075-20,1,INTERNO,EEMM,,,01. ENERO,1. PENDIENTE,
2026-1,13,UNIDAD PACIENTE CRITICO (UPC),Electrocardiógrafo,TRISMED,CARDIPIA 400H,C400202072,IM076-20,1,INTERNO,EEMM,,,01. ENERO,1. PENDIENTE,
2026-1,13,URGENCIA ADULTO/PEDIÁTRICO,Electrocardiógrafo,Trismed,CARDIPIA 400H,C400202073,IM077-20,1,INTERNO,EEMM,,,01. ENERO,1. PENDIENTE,
2026-1,13,UNIDAD PACIENTE CRITICO (UPC),Electrocardiógrafo,Burdick,ATRIA 8500,E8500-001448,IM092-00,1,INTERNO,EEMM,,,01. ENERO,1. PENDIENTE,
2026-1,13,CIRUGIA,Electrocardiógrafo,Burdick,ATRIA 8500,E8500-001450,IM072-00,1,INTERNO,EEMM,,,01. ENERO,1. PENDIENTE,
2026-1,13,PEDIATRIA,Electrocardiógrafo,Burdick,ATRIA 8500,E8500-001451,IM083-00,1,INTERNO,EEMM,,,01. ENERO,1. PENDIENTE,
2026-1,13,PEDIATRIA,Electrocardiógrafo,Burdick,ATRIA 8500,E8500-001452,IM082-00,1,INTERNO,EEMM,,,01. ENERO,1. PENDIENTE,
2026-1,13,CARDIOLOGÍA,Electrocardiógrafo,Burdick,ATRIA 8501,E8500-001457,IM073-00,1,INTERNO,EEMM,,,01. ENERO,1. PENDIENTE,
2026-1,13,MEDICINA NUCLEAR,Electrocardiógrafo,Burdick,ATRIA 8502,E8500-001458,IM084-00,1,INTERNO,EEMM,,,01. ENERO,1. PENDIENTE,
2026-1,13,UROLOGIA,Electrocardiógrafo,Burdick,ATRIA 8500,E8500-001461,IM070-00,1,INTERNO,EEMM,,,01. ENERO,1. PENDIENTE,
2026-2,12,PARTOS/PREPARTOS,Cuna de Procedimiento,GE Healthcare,1502,86,IM117-00,2,CONVENIO,PV EQUIP,,,11. NOVIEMBRE,1. PENDIENTE,
2025-1,12,PABELLÓN CENTRAL,Cuna de Procedimiento,GE Healthcare,1502,G21803838,IM118-00,2,CONVENIO,PV EQUIP,,,05. MAYO,4. EJECUTADO,
2026-1,12,PABELLÓN CENTRAL,Cuna de Procedimiento,GE Healthcare,1502,G21803838,IM118-00,2,CONVENIO,PV EQUIP,,,05. MAYO,1. PENDIENTE,
2026-1,12,IMAGENOLOGIA,Inyectora Medio de Contraste,MEDRAD,STELLANT FLEX,122805,,1,COMODATO,SMARTVISION,,,01. ENERO,1. PENDIENTE,
2025-1,12,ANATOMIA PATOLOGICA,Microscopio Universal,Leica,DM3000LED,587587,IM050-23,1,GARANTIA,GALENICA,27-09-2023,27-09-2026,,1. PENDIENTE,
2025-1,12,ANATOMIA PATOLOGICA,Microscopio Universal,Leica,DM3000LED,587591,IM051-23,1,GARANTIA,GALENICA,27-09-2023,27-09-2026,,1. PENDIENTE,
2025-1,12,LABORATORIO,Microscopio Universal,Leica,DM 1000,297525 - 092007,IM054-00,1,GARANTIA,GALENICA,,,,1. PENDIENTE,
2025-1,12,ANATOMIA PATOLOGICA,Microscopio Universal,Leica,DM1000LED,345857 - 122011,,1,GARANTIA,GALENICA,,,,1. PENDIENTE,
2025-1,12,ANATOMIA PATOLOGICA,Microscopio Universal,Leica,DM1000LED,345891 - 122012,,1,GARANTIA,GALENICA,,,,1. PENDIENTE,
2025-1,14,PABELLÓN CENTRAL,Equipo Láser Urologico,QUANTA SYSTEM,LITHO 45W,LHT0549-0318,IM041-18,2,CONVENIO,CENCOMEX,09-03-2024,09-03-2026,02. FEBRERO,4. EJECUTADO,
2026-1,0,PABELLÓN CENTRAL,Mesa Qx Avanzada,Trumpf Medical,SATURN,101652548,IM130-13,2,COMPRA DE SERVICIO,RUDOLF,,,02. FEBRERO,1. PENDIENTE,
2026-1,0,PABELLÓN CENTRAL,Mesa Qx Avanzada,Trumpf Medical,SATURN,101658328,IM131-13,2,COMPRA DE SERVICIO,RUDOLF,,,02. FEBRERO,1. PENDIENTE,
2026-1,0,PABELLÓN CENTRAL,Mesa Qx Avanzada,Trumpf Medical,MARS,101718822,IM125-13,2,COMPRA DE SERVICIO,RUDOLF,,,02. FEBRERO,1. PENDIENTE,
2026-1,0,PABELLÓN CENTRAL,Mesa Qx Avanzada,Trumpf Medical,TRU SYSTEM3000SBS,107382786,IM126-18,2,COMPRA DE SERVICIO,RUDOLF,,,02. FEBRERO,1. PENDIENTE,
2026-1,0,PABELLÓN CENTRAL,Mesa Qx Avanzada,Trumpf Medical,Tru System 3000SBS,107387263,IM124-18,2,COMPRA DE SERVICIO,RUDOLF,,,02. FEBRERO,1. PENDIENTE,
2026-1,0,PABELLÓN CENTRAL,Mesa Qx Avanzada,Trumpf Medical,TRU SYSTEM3000SBS,107390313,IM129-18,2,COMPRA DE SERVICIO,RUDOLF,,,02. FEBRERO,1. PENDIENTE,
2026-1,0,PABELLÓN CENTRAL,Mesa Qx Avanzada,Trumpf Medical,TRU SYSTEM3000SBS,107390327,IM127-18,2,COMPRA DE SERVICIO,RUDOLF,,,02. FEBRERO,1. PENDIENTE,
2026-1,14,PABELLÓN CENTRAL,Equipo Láser Urologico,QUANTA SYSTEM,LITHO 45W,LHT0549-0318,IM041-18,2,CONVENIO,CENCOMEX,09-03-2024,09-03-2026,02. FEBRERO,1. PENDIENTE,
2026-1,12,CDT - ENDOSCOPIA,Reprocesadora de endoscopios,CHOYANG,LB-04E,BI-EWRE-1-ABA,IM058-18,1,INTERNO,EEMM,,,03. MARZO,1. PENDIENTE,Cambio de filtros
2025-1,12,FARMACIA,Envasadora de Dosis Unitaria (MPI),Grifols,9100,5391,,1,CONVENIO,GRIFOLS,,,03. MARZO,4. EJECUTADO,
2025-1,12,FARMACIA,Envasadora y selladora automática (Blispack),Grifols,BLISPACK,906037-1,,1,CONVENIO,GRIFOLS,,,03. MARZO,4. EJECUTADO,
2025-1,12,LABORATORIO,Microscopio Universal,Leica,DM 1000,297496-092007,IM055-00,1,COMPRA DE SERVICIO,GALENICA,,,,2. SEM EN CURSO,
2026-1,12,FARMACIA,Envasadora de Dosis Unitaria (MPI),Grifols,9100,5391,,1,CONVENIO,GRIFOLS,,,03. MARZO,1. PENDIENTE,
2026-1,12,FARMACIA,Envasadora y selladora automática (Blispack),Grifols,BLISPACK,906037-1,,1,CONVENIO,GRIFOLS,,,03. MARZO,1. PENDIENTE,
2025-1,12,LABORATORIO,Microscopio Universal,Leica,DM 1000,306787-092008,IM056-00,1,COMPRA DE SERVICIO,GALENICA,,,,2. SEM EN CURSO,
2025-1,17,PABELLÓN CENTRAL,Capnógrafo,Drager,Scio Four Oxi Plus,ARXN-0051,,2,CONVENIO,Drager,03-08-2023,03-08-2025,04. ABRIL,4. EJECUTADO,
2025-1,17,PABELLÓN CENTRAL,Capnógrafo,Drager,Scio Four Plus,ASDA-0019,,2,CONVENIO,Drager,03-08-2023,03-08-2025,04. ABRIL,4. EJECUTADO,
2025-1,17,PABELLÓN CENTRAL,Capnógrafo,Drager,Scio Four Plus,ASDA-0020,,2,CONVENIO,Drager,03-08-2023,03-08-2025,04. ABRIL,4. EJECUTADO,
2025-1,17,PABELLÓN CENTRAL,Capnógrafo,Drager,Scio Four Plus,ASDA-0021,,2,CONVENIO,Drager,03-08-2023,03-08-2025,04. ABRIL,4. EJECUTADO,
2025-1,17,PABELLÓN CENTRAL,Capnógrafo,Drager,Scio Four Plus,ASDA-0022,,2,CONVENIO,Drager,03-08-2023,03-08-2025,04. ABRIL,4. EJECUTADO,
2025-1,17,PABELLÓN CENTRAL,Capnógrafo,Drager,Scio Four Plus,ASEB-0021,,2,CONVENIO,Drager,03-08-2023,03-08-2025,04. ABRIL,4. EJECUTADO,
2025-1,17,PABELLÓN CENTRAL,Capnógrafo,Drager,Scio Four Plus,ASEB-0022,,2,CONVENIO,Drager,03-08-2023,03-08-2025,04. ABRIL,4. EJECUTADO,
2025-1,17,PABELLÓN CENTRAL,Capnógrafo,Drager,Scio Four Oxi Plus,ASJM-0025,,2,CONVENIO,Drager,03-08-2023,03-08-2025,04. ABRIL,4. EJECUTADO,
2025-1,17,PABELLÓN CENTRAL,Capnógrafo,Drager,Scio Four Oxi Plus,ASLK-6046,,2,CONVENIO,Drager,03-08-2023,03-08-2025,04. ABRIL,4. EJECUTADO,
2025-1,17,PABELLÓN CENTRAL,Capnógrafo,Drager,Scio Four Oxi Plus,ASLK-6048,,2,CONVENIO,Drager,03-08-2023,03-08-2025,04. ABRIL,4. EJECUTADO,
2025-1,0,PABELLÓN CENTRAL,Electrobisturí - ligasure,Covidien - Valleylab,LS10,L15D0560GX,,1,COMODATO,MEDTRONIC,,,04. ABRIL,4. EJECUTADO,
2025-1,0,PABELLÓN CENTRAL,Electrobisturí - ligasure,Covidien - Valleylab,LS10,L15F1647GX,,1,COMODATO,MEDTRONIC,,,04. ABRIL,4. EJECUTADO,
2025-1,17,PABELLÓN CENTRAL,Facoemulsificador,CARL ZEISS,Quatera 700,6407100548,,2,GARANTIA,Megalabs,13-01-2023,13-01-2026,04. ABRIL,4. EJECUTADO,
2025-1,15,CDT - POLICLINICO DE OFTALMOLOGIA,Lámpara de Hendidura,Topcom,SL-2ED,1228082,,1,COMPRA DE SERVICIO,DAPE,07-04-2025,07-04-2025,04. ABRIL,4. EJECUTADO,
2025-1,15,CDT - POLICLINICO DE OFTALMOLOGIA,Lámpara de Hendidura,Topcom,SL-5D,503221,,1,COMPRA DE SERVICIO,DAPE,07-04-2025,07-04-2025,04. ABRIL,4. EJECUTADO,
2025-1,15,CDT - POLICLINICO DE OFTALMOLOGIA,Lámpara de Hendidura,NIDEK,SL 1600,50603,,1,COMPRA DE SERVICIO,DAPE,07-04-2025,07-04-2025,04. ABRIL,4. EJECUTADO,
2025-1,15,CDT - POLICLINICO DE OFTALMOLOGIA,Lámpara de Hendidura,Topcom,SL-D8Z,805229,,1,COMPRA DE SERVICIO,DAPE,07-04-2025,07-04-2025,04. ABRIL,4. EJECUTADO,
2025-1,18,PABELLÓN CENTRAL,Unidad Electroquirúrgica (Electrobisturí),Valleylab,FT10,T3G66399DX,IM034-23,1,GARANTIA,MEDTRONIC,18-12-2023,18-12-2025,04. ABRIL,4. EJECUTADO,
2025-1,18,PABELLÓN CENTRAL,Unidad Electroquirúrgica (Electrobisturí),Valleylab,FT10,T3G66415DX,IM035-23,1,GARANTIA,MEDTRONIC,18-12-2023,18-12-2025,04. ABRIL,4. EJECUTADO,
2025-1,18,INGENIERIA CLINICA Y EQUIPOS MEDICOS,Unidad Electroquirúrgica (Electrobisturí),Valleylab,Force 2,F0H001012,IM031-23(D),1,COMPRA DE SERVICIO,MEDTRONIC,,,04. ABRIL,4. EJECUTADO,
2025-1,18,PABELLÓN CENTRAL,Unidad Electroquirúrgica (Electrobisturí),Valleylab,Force FX,F1H68684AX,IM032-23(D),1,COMPRA DE SERVICIO,MEDTRONIC,,,04. ABRIL,4. EJECUTADO,
2025-1,18,PABELLÓN CENTRAL,Unidad Electroquirúrgica (Electrobisturí),Valleylab,Force FX,F1J68890AX,IM033-23(D),1,COMPRA DE SERVICIO,MEDTRONIC,,,04. ABRIL,4. EJECUTADO,
2025-1,18,PABELLÓN CENTRAL,Unidad Electroquirúrgica (Electrobisturí),Valleylab,Force FX,F6F76032AX,IM029-18,1,COMPRA DE SERVICIO,MEDTRONIC,,,04. ABRIL,4. EJECUTADO,
2025-1,18,PABELLÓN CENTRAL,Unidad Electroquirúrgica (Electrobisturí),Valleylab,FORCE FX8C,F6K50461A,IM024-17,1,COMPRA DE SERVICIO,MEDTRONIC,,,04. ABRIL,4. EJECUTADO,
2025-1,18,PABELLÓN CENTRAL,Unidad Electroquirúrgica (Electrobisturí),Valleylab,FORCE FX8C,S2F05208AX,IM023-17,1,COMPRA DE SERVICIO,MEDTRONIC,,,04. ABRIL,4. EJECUTADO,
2025-1,18,PABELLÓN CENTRAL,Unidad Electroquirúrgica (Electrobisturí),Valleylab,FORCE FX8C,S2F05209AX,IM026-12,1,COMPRA DE SERVICIO,MEDTRONIC,,,04. ABRIL,4. EJECUTADO,
2025-1,18,PABELLÓN CENTRAL,Unidad Electroquirúrgica (Electrobisturí),Valleylab,FORCE FX8C,S2F05210AX,IM028-17,1,COMPRA DE SERVICIO,MEDTRONIC,,,04. ABRIL,4. EJECUTADO,
2025-1,18,PABELLÓN CENTRAL,Unidad Electroquirúrgica (Electrobisturí),Valleylab,SurgiStat ll,VL4807012,IM038-08,1,COMPRA DE SERVICIO,MEDTRONIC,,,04. ABRIL,4. EJECUTADO,
2025-1,17,PABELLÓN CENTRAL,Vaporizador desflorano,Drager,D-VAPOR 3000,ASDN-0369,,2,CONVENIO,Drager,03-08-2023,03-08-2025,04. ABRIL,4. EJECUTADO,
2025-1,17,PABELLÓN CENTRAL,Vaporizador desflorano,Drager,D-VAPOR 3000,ASLK-0027,,2,CONVENIO,Drager,03-08-2023,03-08-2025,04. ABRIL,4. EJECUTADO,
2025-1,17,PABELLÓN CENTRAL,Vaporizador desflorano,Drager,D-VAPOR 3000,ASLK-0028,,2,CONVENIO,Drager,03-08-2023,03-08-2025,04. ABRIL,4. EJECUTADO,
2025-1,17,PABELLÓN CENTRAL,Vaporizador isoflurano,Drager,VAPOR 2000,ARXM-0020,,2,CONVENIO,Drager,03-08-2023,03-08-2025,04. ABRIL,4. EJECUTADO,
2025-1,17,PABELLÓN CENTRAL,Vaporizador isoflurano,Drager,VAPOR 2000,ARXM-0764,,2,CONVENIO,Drager,03-08-2023,03-08-2025,04. ABRIL,4. EJECUTADO,
2025-1,17,PABELLÓN CENTRAL,Vaporizador isoflurano,Drager,VAPOR 2000,ARZM-0015,,2,CONVENIO,Drager,03-08-2023,03-08-2025,04. ABRIL,4. EJECUTADO,
2025-1,17,PABELLÓN CENTRAL,Vaporizador isoflurano,Drager,VAPOR 2000,ASBK-0386,,2,CONVENIO,Drager,03-08-2023,03-08-2025,04. ABRIL,4. EJECUTADO,
2025-1,17,PABELLÓN CENTRAL,Vaporizador isoflurano,Drager,VAPOR 2000,ASDB-0122,,2,CONVENIO,Drager,03-08-2023,03-08-2025,04. ABRIL,4. EJECUTADO,
2025-1,17,PABELLÓN CENTRAL,Vaporizador isoflurano,Drager,VAPOR 2000,ASDB-0123,,2,CONVENIO,Drager,03-08-2023,03-08-2025,04. ABRIL,4. EJECUTADO,
2025-1,17,PABELLÓN CENTRAL,Vaporizador isoflurano,Drager,VAPOR 2000,ASDB-0124,,2,CONVENIO,Drager,03-08-2023,03-08-2025,04. ABRIL,4. EJECUTADO,
2025-1,17,PABELLÓN CENTRAL,Vaporizador isoflurano,Drager,VAPOR 2000,ASDB-0125,,2,CONVENIO,Drager,03-08-2023,03-08-2025,04. ABRIL,4. EJECUTADO,
2025-1,17,PABELLÓN CENTRAL,Vaporizador isoflurano,Drager,VAPOR 2000,ASJM-0065,,2,CONVENIO,Drager,03-08-2023,03-08-2025,04. ABRIL,4. EJECUTADO,
2025-1,17,PABELLÓN CENTRAL,Vaporizador sevoflurano,Drager,VAPOR 2000,ARXM-0417,,2,CONVENIO,Drager,03-08-2023,03-08-2025,04. ABRIL,4. EJECUTADO,
2025-1,17,PABELLÓN CENTRAL,Vaporizador sevoflurano,Drager,VAPOR 2000,ARXM-0500,,2,CONVENIO,Drager,03-08-2023,03-08-2025,04. ABRIL,4. EJECUTADO,
2025-1,17,PABELLÓN CENTRAL,Vaporizador sevoflurano,Drager,VAPOR 2000,ARYA-0202,,2,CONVENIO,Drager,03-08-2023,03-08-2025,04. ABRIL,4. EJECUTADO,
2025-1,17,PABELLÓN CENTRAL,Vaporizador sevoflurano,Drager,VAPOR 2000,ARYA-0207,,2,CONVENIO,Drager,03-08-2023,03-08-2025,04. ABRIL,4. EJECUTADO,
2025-1,17,PABELLÓN CENTRAL,Vaporizador sevoflurano,Drager,D-VAPOR 3000,ASEA-1107,,2,CONVENIO,Drager,03-08-2023,03-08-2025,04. ABRIL,4. EJECUTADO,
2025-1,17,PABELLÓN CENTRAL,Vaporizador sevoflurano,Drager,VAPOR 2000,ASEB-0388,,2,CONVENIO,Drager,03-08-2023,03-08-2025,04. ABRIL,4. EJECUTADO,
2025-1,17,PABELLÓN CENTRAL,Vaporizador sevoflurano,Drager,VAPOR 2000,ASEB-0434,,2,CONVENIO,Drager,03-08-2023,03-08-2025,04. ABRIL,4. EJECUTADO,
2025-1,17,PABELLÓN CENTRAL,Vaporizador sevoflurano,Drager,VAPOR 2000,ASLK-0151,,2,CONVENIO,Drager,03-08-2023,03-08-2025,04. ABRIL,4. EJECUTADO,
2025-1,17,PABELLÓN CENTRAL,Vaporizador sevoflurano,Drager,VAPOR 2000,ASLK-0152,,2,CONVENIO,Drager,03-08-2023,03-08-2025,04. ABRIL,4. EJECUTADO,
2026-1,17,PABELLÓN CENTRAL,Capnógrafo,Drager,Scio Four Oxi Plus,ARXN-0051,,2,CONVENIO,Drager,03-08-2023,03-08-2025,04. ABRIL,1. PENDIENTE,
2026-1,17,PABELLÓN CENTRAL,Capnógrafo,Drager,Scio Four Plus,ASDA-0019,,2,CONVENIO,Drager,03-08-2023,03-08-2025,04. ABRIL,1. PENDIENTE,
2026-1,17,PABELLÓN CENTRAL,Capnógrafo,Drager,Scio Four Plus,ASDA-0020,,2,CONVENIO,Drager,03-08-2023,03-08-2025,04. ABRIL,1. PENDIENTE,
2026-1,17,PABELLÓN CENTRAL,Capnógrafo,Drager,Scio Four Plus,ASDA-0021,,2,CONVENIO,Drager,03-08-2023,03-08-2025,04. ABRIL,1. PENDIENTE,
2026-1,17,PABELLÓN CENTRAL,Capnógrafo,Drager,Scio Four Plus,ASDA-0022,,2,CONVENIO,Drager,03-08-2023,03-08-2025,04. ABRIL,1. PENDIENTE,
