PMP,CATEGORÍA,SERVICIO,EQUIPO,MARCA,MODELO,SERIE,NIC,Nuevo NIC (Transición),FRECUENCIA,MANTENIMIENTO INTERNO O MANTENIMIENTO EXTERNO O CONTRATO,PROVEEDOR,FP,PLANILLA MINSAL (LPF),SITUACIÓN (LPF),ESTADO,FORMATO PROTOCOLO (NICOLE),N° GS (NICOLE),FECHA (NICOLE),OBSERVACIÓN MANTENIMIENTO,FECHA REPROGRAMACIÓN,OBERVACIÓN PROGRAMACIÓN,MEMORANDO A CALIDAD,,,,,
2025-1,EC,UCP PEDIÁTRICOS,MONITOR MULTIPARÁMETROS ALTA COMPLEJIDAD,PHILIPS,INTELLIVUE X2,DE46662990,MM056-15,MM056-15,2,INTERNO,EEMM,2-febrero,NO,EJECUTADO,6. CERRADO,DIGITAL,6134,22-02-2025,"No aplicar seguridad electrica, equipo operativo",,,,,,,,
2025-1,EC,UCP PEDIÁTRICOS,MONITOR MULTIPARÁMETROS ALTA COMPLEJIDAD,PHILIPS,INTELLIVUE X2,DE46662824,MM057-15,MM057-15,2,INTERNO,EEMM,2-febrero,NO,EJECUTADO,6. CERRADO,DIGITAL,6133,22-02-2025,"No aplicar seguridad electrica, equipo operativo",,,,,,,,
2025,ER,LABORATORIO,EQUIPO AUTOMATIZADO INMUNOLOGÍA,BIOMERIEUX,VIDAS 3,VN06328,,,1,COMODATO,BIOMERIEUX,2-febrero,NO,EJECUTADO,6. CERRADO,FÍSICO,SA-1729472,05-03-2025,Equipo operativo,,,,,,,,
2025,ER,LABORATORIO,EQUIPO AUTOMATIZADO INMUNOLOGÍA,BIOMERIEUX,VIDAS 3,VN06332,,,1,COMODATO,BIOMERIEUX,2-febrero,NO,EJECUTADO,6. CERRADO,FÍSICO,SA-1729486,06-03-2025,Equipo operativo,,,,,,,,
2025,ER,LABORATORIO,EQUIPO AUTOMATIZADO MICROBIOLOGÍA (Línea de Ánalisis de orina completa),AMILAB,DIURI FUS-2000,230200FUS0202,,,4,COMODATO,AMILAB,2-febrero,NO,EJECUTADO,6. CERRADO,FÍSICO,OT290,17-03-2025,Equipo operativo,,,,,,,,
2025,ER,LABORATORIO,EQUIPO AUTOMATIZADO MICROBIOLOGÍA (Línea de Ánalisis de orina completa),AMILAB,DIURI H-500,2200500H0573,,,4,COMODATO,AMILAB,2-febrero,NO,EJECUTADO,6. CERRADO,FÍSICO,OT290,17-03-2025,Equipo operativo,,,,,,,,
2025,ER,LABORATORIO,EQUIPO HEMATOLOGÍA (Determinación de Velocidad de Eritrosedimentación),Alifax,Test 1,17454,,,4,COMODATO,VALTEK,2-febrero,NO,EJECUTADO,6. CERRADO,FÍSICO,SA-4893 / 00004940,19-02-2025,Equipo operativo,,,,,,,,
2025,ER,LABORATORIO,EQUIPO HEMATOLOGÍA (Determinación de Velocidad de Eritrosedimentación),Alifax,Test 1,17455,,,4,COMODATO,VALTEK,2-febrero,NO,EJECUTADO,6. CERRADO,FÍSICO,SA-4898,19-02-2025,Equipo operativo,,,,,,,,
2025-1,ER,CDT - POLICLÍNICO UROLOGÍA,ECOTOMÓGRAFO,MINDRAY,DC40,CT7-21004512,CDT-R22-22,,2,GARANTIA,DATAMEDICA,3-marzo,NO,EJECUTADO,6. CERRADO,FÍSICO,17337,06-03-2025,Equipo operativo,,,,,,,,
2025,ER,SERVICIO DENTAL,Ortopantomógrafo con telerradiografía,DURR SERVICIO DENTAL,VISTA PANO S CEPH,K203000271,DEN-R01-18,,1,EXTERNO,REF,3-marzo,NO,EJECUTADO,6. CERRADO,FÍSICO,6,06-03-2025,Equipo operativo,,,,,,,,
2025,ER,SERVICIO DENTAL,Tomógrafo cone beam,DURR SERVICIO DENTAL,VistaVoxS,K388252009,DEN-R02-18,,1,EXTERNO,REF,3-marzo,NO,EJECUTADO,6. CERRADO,FÍSICO,6,06-03-2025,Equipo operativo,,,,,,,,
2025,ER,SERVICIO DENTAL,Intraoral DC,DURR SERVICIO DENTAL,VISTALNTRA DC,K204401850,DEN-R03-18,,1,EXTERNO,REF,3-marzo,NO,EJECUTADO,6. CERRADO,FÍSICO,5,06-03-2025,Equipo operativo,,,,,,,,
2025-1,EC,HEMODIÁLISIS,MÁQUINA DE DIÁLISIS,FRESENIUS MEDICAL,4008S,8SXA0E29,HD001-19,HD001-19,2,CONTRATO,PENTAFARMA,3-marzo,NO,EJECUTADO,6. CERRADO,FÍSICO,OT016649,26-03-2025,Equipo operativo,,,,,,,,
2025-1,EC,HEMODIÁLISIS,MÁQUINA DE DIÁLISIS,FRESENIUS MEDICAL,4008S,8SXA0E2G,HD002-19,HD002-19,2,CONTRATO,PENTAFARMA,3-marzo,NO,EJECUTADO,6. CERRADO,FÍSICO,OT016676,26 marzo,Equipo operativo,,,,,,,,
2025-1,EC,HEMODIÁLISIS,MÁQUINA DE DIÁLISIS,FRESENIUS MEDICAL,4008S,8SXA0EH4,HD003-19,HD003-19,2,CONTRATO,PENTAFARMA,3-marzo,NO,EJECUTADO,6. CERRADO,FÍSICO,OT016677,26-03-2025,Equipo operativo,,,,,,,,
2025-1,EC,HEMODIÁLISIS,MÁQUINA DE DIÁLISIS,FRESENIUS MEDICAL,4008S,8SXA0EH5,HD004-19,HD004-19,2,CONTRATO,PENTAFARMA,3-marzo,NO,EJECUTADO,6. CERRADO,FÍSICO,OT016679,26-03-2025,Equipo operativo,,,,,,,,
2025-1,EC,HEMODIÁLISIS,MÁQUINA DE DIÁLISIS,FRESENIUS MEDICAL,4008S,8SXA0EH6,HD005-19,HD005-19,2,CONTRATO,PENTAFARMA,3-marzo,NO,EJECUTADO,6. CERRADO,FÍSICO,OT016680,26 marzo,Equipo operativo,,,,,,,,
2025-1,EC,HEMODIÁLISIS,MÁQUINA DE DIÁLISIS,FRESENIUS MEDICAL,4008S,9SXA0ZWB,HD006-19,HD006-19,2,CONTRATO,PENTAFARMA,3-marzo,NO,EJECUTADO,6. CERRADO,FÍSICO,OT016681,26 marzo,Equipo operativo,,,,,,,,
2025-1,EC,HEMODIÁLISIS,MÁQUINA DE DIÁLISIS,FRESENIUS MEDICAL,4008S,9SXA0ZWF,HD007-19,HD007-19,2,CONTRATO,PENTAFARMA,3-marzo,NO,EJECUTADO,6. CERRADO,FÍSICO,OT016682,26 marzo,Equipo operativo,,,,,,,,
2025-1,EC,HEMODIÁLISIS,MÁQUINA DE DIÁLISIS,FRESENIUS MEDICAL,4008S,9SXA0ZWM,HD008-19,HD008-19,2,CONTRATO,PENTAFARMA,3-marzo,NO,EJECUTADO,6. CERRADO,FÍSICO,OT016683,26-03-2025,Equipo operativo,,,,,,,,
2025-1,EC,HEMODIÁLISIS,MÁQUINA DE DIÁLISIS,FRESENIUS MEDICAL,4008S,9SXA0ZWN,HD009-19,HD009-19,2,CONTRATO,PENTAFARMA,3-marzo,NO,EJECUTADO,6. CERRADO,FÍSICO,OT016684,26-03-2025,Equipo operativo,,,,,,,,
2025-1,EC,HEMODIÁLISIS,MÁQUINA DE DIÁLISIS,FRESENIUS MEDICAL,4008S,9SXA0ZWQ,HD010-19,HD010-19,2,CONTRATO,PENTAFARMA,3-marzo,NO,EJECUTADO,6. CERRADO,FÍSICO,OT016685,26-03-2025,Equipo operativo,,,,,,,,
2025-1,EC,HEMODIÁLISIS,MÁQUINA DE DIÁLISIS,FRESENIUS MEDICAL,4008S,9SXA0ZWS,HD011-19,HD011-19,2,CONTRATO,PENTAFARMA,3-marzo,NO,EJECUTADO,6. CERRADO,FÍSICO,OT016686,26-03-2025,Equipo operativo,,,,,,,,
2025-1,EC,HEMODIÁLISIS,MÁQUINA DE DIÁLISIS,FRESENIUS MEDICAL,4008S,9SXA0ZWU,HD012-19,HD012-19,2,CONTRATO,PENTAFARMA,3-marzo,NO,EJECUTADO,6. CERRADO,FÍSICO,OT016687,26/3/2025,Equipo operativo,,,,,,,,
2025-1,EC,HEMODIÁLISIS,MÁQUINA DE DIÁLISIS,FRESENIUS MEDICAL,4008S,9SXA0ZWW,HD013-19,HD013-19,2,CONTRATO,PENTAFARMA,3-marzo,NO,EJECUTADO,6. CERRADO,FÍSICO,OT016688,26-03-2025,Equipo operativo,,,,,,,,
2025-1,ER,IMAGENOLOGÍA,EQUIPO RAYOS X OSTEOPULMONAR DE TECHO,IDC,Xplorer 2200,X3C015900155,IMG-R01-09,,2,CONTRATO,LLM,3-marzo,NO,EJECUTADO,6. CERRADO,FÍSICO,189,11 febrero,Equipo operativo (Espera de reporte corregido),,,,,,,,
2025,ER,IMAGENOLOGÍA,TAC,SIEMENS,Somaton Definition AS,95877,IMG-R05-16,,3,CONTRATO,SIEMENS,3-marzo,NO,EJECUTADO,6. CERRADO,FÍSICO,480200119962,11-02-2025,Equipo operativo,,,,,,,,
2025,ER,UNIDAD DE MEDICINA NUCLEAR,SPECT CT,SIEMENS,Symbia Intevo Bold,1359,MNU-R04-21,,3,CONTRATO,SIEMENS,3-marzo,NO,EJECUTADO,6. CERRADO,FÍSICO,480100690868,10-04-2025,Equipo operativo,,,,,,,,
2025-1,EC,NEONATOLOGÍA,INCUBADORA DE TRANSPORTE,DRÄGER,TI-500 AIR-SHIELDS,BB-08376,NEO-001-12,,2,CONTRATO,DRÄGER,3-marzo,NO,EJECUTADO,6. CERRADO,FÍSICO,SR.133.514,27 marzo,Equipo operativo,,,,,,,,
2025-1,EC,NEONATOLOGÍA,INCUBADORA DE TRANSPORTE C/ VENTILADOR MECÁNICO,DRÄGER,TI-500 GLOBETROTTER,BB-08369/BB01638,NEO-002-12,,2,CONTRATO,DRÄGER,3-marzo,NO,EJECUTADO,6. CERRADO,FÍSICO,SR.133.490,27 marzo,Equipo operativo,,,,,,,,
2025-1,EC,PARTOS,INCUBADORA DE TRANSPORTE,DRÄGER,ISOLETTE TI500,KH12789,PAR-012-18,,2,CONTRATO,DRÄGER,3-marzo,NO,EJECUTADO,6. CERRADO,FÍSICO,SR.133.512,27 marzo,Equipo operativo,,,,,,,,
2025-1,EC,PARTOS,INCUBADORA DE TRANSPORTE,DRÄGER,ISOLETTE TI500,KH12790,PAR-013-18,,2,CONTRATO,DRÄGER,3-marzo,NO,EJECUTADO,6. CERRADO,FÍSICO,SR.133.513,27-03-2025,Equipo operativo,,,,,,,,
2025-1,EC,PABELLÓN QUIRÚRGICO AMBULATORIO,MONITOR MULTIPARÁMETROS ALTA COMPLEJIDAD,DRÄGER,VISTA 120,VTSLH0105,PQA-019-18,MM030-18,2,CONTRATO,DRÄGER,3-marzo,NO,EJECUTADO,6. CERRADO,FÍSICO,SR.133.510,25-03-2025,Equipo operativo,,,,,,,,
2025-1,EC,PABELLÓN QUIRÚRGICO AMBULATORIO,MONITOR MULTIPARÁMETROS ALTA COMPLEJIDAD,DRÄGER,VISTA 120,VTSLH0119,PQA-020-18,MM029-18,2,CONTRATO,DRÄGER,3-marzo,NO,EJECUTADO,6. CERRADO,FÍSICO,SR.133.511,28-03-2025,Equipo operativo,,,,,,,,
2025-1,EC,PABELLÓN QUIRÚRGICO AMBULATORIO,MÁQUINA DE ANESTESIA,DRÄGER,FABIUS GS PREMIUM,ASLK-0043,PQA-021-18,MA009-18,2,CONTRATO,DRÄGER,3-marzo,NO,EJECUTADO,6. CERRADO,FÍSICO,SR.133.509,28-03-2025,Equipo operativo,,,,,,,,
2025-1,EC,PABELLÓN QUIRÚRGICO AMBULATORIO,MÁQUINA DE ANESTESIA,DRÄGER,FABIUS GS PREMIUM,ASLK-0044,PQA-022-18,MA010-18,2,CONTRATO,DRÄGER,3-marzo,NO,EJECUTADO,6. CERRADO,FÍSICO,SR.133.508,24-03-2025,Equipo operativo,,,,,,,,
2025-1,EC,PABELLÓN QUIRÚRGICO CENTRAL,MÁQUINA DE ANESTESIA,DRÄGER,FABIUS GS PREMIUM,ASEB-0087,PQC-001-12,MA001-12,2,CONTRATO,DRÄGER,3-marzo,NO,EJECUTADO,6. CERRADO,FÍSICO,SR.133.486,25-03-2025,Equipo operativo,,,,,,,,
2025-1,EC,PABELLÓN QUIRÚRGICO CENTRAL,MÁQUINA DE ANESTESIA,DRÄGER,FABIUS GS PREMIUM,ASEB-0088,PQC-004-12,MA002-12,2,CONTRATO,DRÄGER,3-marzo,NO,EJECUTADO,6. CERRADO,FÍSICO,SR.133.487,25-03-2025,Equipo operativo,,,,,,,,
2025-1,EC,PABELLÓN QUIRÚRGICO CENTRAL,MÁQUINA DE ANESTESIA,DRÄGER,FABIUS GS PREMIUM,ASDB-0110,PQC-005-12,MA003-12,2,CONTRATO,DRÄGER,3-marzo,NO,EJECUTADO,6. CERRADO,FÍSICO,SR.133.480,28-03-2025,Equipo operativo,,,,,,,,
2025-1,EC,PABELLÓN QUIRÚRGICO CENTRAL,MÁQUINA DE ANESTESIA,DRÄGER,FABIUS GS PREMIUM,ASDB-0107,PQC-006-12,MA004-12,2,CONTRATO,DRÄGER,3-marzo,NO,EJECUTADO,6. CERRADO,FÍSICO,SR.133.477,26-03-2025,Equipo operativo,,,,,,,,
2025-1,EC,PABELLÓN QUIRÚRGICO CENTRAL,MÁQUINA DE ANESTESIA,DRÄGER,FABIUS GS PREMIUM,ASDB-0109,PQC-007-12,MA005-12,2,CONTRATO,DRÄGER,3-marzo,NO,EJECUTADO,6. CERRADO,FÍSICO,SR.133.479,26-03-2025,Equipo operativo,,,,,,,,
2025-1,EC,PABELLÓN QUIRÚRGICO CENTRAL,MÁQUINA DE ANESTESIA,DRÄGER,PERSEUS-A500,ASEA-0022,PQC-031-13,MA007-13,2,CONTRATO,DRÄGER,3-marzo,NO,EJECUTADO,6. CERRADO,FÍSICO,SR.133.482,26-03-2025,Equipo operativo,,,,,,,,
2025-1,EC,PABELLÓN QUIRÚRGICO CENTRAL,MONITOR MULTIPARÁMETROS ALTA COMPLEJIDAD,DRÄGER,INFINITY KAPPA,5494860059,PQC-033-13,MM031-13,2,CONTRATO,DRÄGER,3-marzo,NO,EJECUTADO,6. CERRADO,FÍSICO,SR.133.491,28-03-2025,Equipo operativo,,,,,,,,
2025-1,EC,PABELLÓN QUIRÚRGICO CENTRAL,MONITOR MULTIPARÁMETROS ALTA COMPLEJIDAD,DRÄGER,INFINITY DELTA,6004514369,PQC-034-12,MM112-12,2,CONTRATO,DRÄGER,3-marzo,NO,EJECUTADO,6. CERRADO,FÍSICO,SR.133.461,27-03-2025,Equipo operativo,,,,,,,,
2025-1,EC,PABELLÓN QUIRÚRGICO CENTRAL,MONITOR MULTIPARÁMETROS ALTA COMPLEJIDAD,DRÄGER,INFINITY DELTA,6004497164,PQC-035-12,MM114-12,2,CONTRATO,DRÄGER,3-marzo,NO,EJECUTADO,6. CERRADO,FÍSICO,SR.133.460,26-03-2025,Equipo operativo,,,,,,,,
2025-1,EC,PABELLÓN QUIRÚRGICO CENTRAL,MONITOR MULTIPARÁMETROS ALTA COMPLEJIDAD,DRÄGER,INFINITY DELTA,6004516367,PQC-036-12,MM111-12,2,CONTRATO,DRÄGER,3-marzo,NO,EJECUTADO,6. CERRADO,FÍSICO,SR.133.462,28-03-2025,Equipo operativo,,,,,,,,
2025-1,EC,PABELLÓN QUIRÚRGICO CENTRAL,MONITOR MULTIPARÁMETROS ALTA COMPLEJIDAD,DRÄGER,INFINITY DELTA,6004516866,PQC-037-12,MM110-12,2,CONTRATO,DRÄGER,3-marzo,NO,EJECUTADO,6. CERRADO,FÍSICO,SR.133.463,25-03-2025,Equipo operativo,,,,,,,,
2025-1,EC,PABELLÓN QUIRÚRGICO CENTRAL,MONITOR MULTIPARÁMETROS ALTA COMPLEJIDAD,DRÄGER,INFINITY DELTA,6005318873,PQC-038-13,MM109-13,2,CONTRATO,DRÄGER,3-marzo,NO,EJECUTADO,6. CERRADO,FÍSICO,SR.133.464,26-03-2025,Equipo operativo,,,,,,,,
2025-1,EC,PABELLÓN QUIRÚRGICO CENTRAL,MONITOR MULTIPARÁMETROS ALTA COMPLEJIDAD,DRÄGER,INFINITY DELTA,6005402283,PQC-039-13,MM108-13,2,CONTRATO,DRÄGER,3-marzo,NO,EJECUTADO,6. CERRADO,FÍSICO,SR.133.465,26-03-2025,Equipo operativo,,,,,,,,
2025-1,EC,PABELLÓN QUIRÚRGICO CENTRAL,MONITOR MULTIPARÁMETROS ALTA COMPLEJIDAD,DRÄGER,INFINITY DELTA,6005196772,PQC-040-14,MM113-14,2,CONTRATO,DRÄGER,3-marzo,NO,EJECUTADO,6. CERRADO,FÍSICO,SR.133.493,27-03-2025,Equipo operativo,,,,,,,,
2025-1,EC,PABELLÓN QUIRÚRGICO CENTRAL,MÁQUINA DE ANESTESIA,DRÄGER,FABIUS GS PREMIUM,ASDB-0108,PQC-041-12,MA006-12,2,CONTRATO,DRÄGER,3-marzo,NO,EJECUTADO,6. CERRADO,FÍSICO,SR.133.478,26-03-2025,Equipo operativo,,,,,,,,
2025-1,EC,PABELLÓN QUIRÚRGICO CENTRAL,MONITOR MULTIPARÁMETROS ALTA COMPLEJIDAD,DRÄGER,INFINITY EXPLORER C700,324517025,PQC-045-21,MM107-21,2,CONTRATO,DRÄGER,3-marzo,NO,EJECUTADO,6. CERRADO,FÍSICO,SR.133.492,26-03-2025,Equipo operativo,,,,,,,,
2025-1,ER,PABELLÓN QUIRÚRGICO CENTRAL,ARCO EN C,IMS,IMS Taurus,7100A23102,PQC-R33-23,,2,GARANTIA,LLM,3-marzo,NO,EJECUTADO,6. CERRADO,FÍSICO,190,12-02-2025,Equipo operativo,,,,,,,,
2025-1,EC,UCI,MÁQUINA DE DIÁLISIS,Fresenius medical,4008S Classic,9SXA1JNG,UPC-002-20,HD014-20,2,CONTRATO,PENTAFARMA,3-marzo,NO,EJECUTADO,6. CERRADO,FÍSICO,OT016689,26-03-2025,Equipo operativo,,,,,,,,
2025-1,EC,UCI,MONITOR MULTIPARÁMETROS ALTA COMPLEJIDAD,PHILIPS,MX550,DE671G2593,UPC-009-21,MM262-21,2,INTERNO,EEMM,3-marzo,NO,EJECUTADO,6. CERRADO,DIGITAL,6369,15-02-2025,Equipo operativo,,,,,,,,
2025-1,EC,UCI,MONITOR MULTIPARÁMETROS ALTA COMPLEJIDAD,PHILIPS,MX550,DE671G2592,UPC-010-21,MM263-21,2,INTERNO,EEMM,3-marzo,NO,EJECUTADO,6. CERRADO,DIGITAL,6372,15-02-2025,Equipo operativo,,,,,,,,
2025-1,EC,UCI,MONITOR MULTIPARÁMETROS ALTA COMPLEJIDAD,PHILIPS,MX550,DE671G2594,UPC-011-21,MM264-21,2,INTERNO,EEMM,3-marzo,NO,EJECUTADO,6. CERRADO,DIGITAL,6139,22-02-2025,Equipo operativo,,,,,,,,
2025-1,EC,UCI,MONITOR MULTIPARÁMETROS ALTA COMPLEJIDAD,PHILIPS,MX550,DE671G2595,UPC-012-21,MM265-21,2,INTERNO,EEMM,3-marzo,NO,EJECUTADO,6. CERRADO,DIGITAL,6138,22-02-2025,Equipo operativo,,,,,,,,
2025-1,EC,UCI,MONITOR MULTIPARÁMETROS MEDIANA COMPLEJIDAD (TRANSPORTE),PHILIPS,MX100,DE69481922,UPC-027-21,MM152-21,2,INTERNO,EEMM,3-marzo,NO,EJECUTADO,6. CERRADO,DIGITAL,6367,15-02-2025,"No es posible aplicar seguridad electrica, equipo operativo",,,,,,,,-
2025-1,ER,UCI,Planta de agua portátil,Fresenius medical,AQUA WTU,044S2811,UPC-R08-20,,4,CONTRATO,PENTAFARMA,3-marzo,NO,EJECUTADO,6. CERRADO,FÍSICO,OT016690,31-03-2025,Equipo operativo,,,,,,,,
2025-1,EC,QUIMIOTERAPIA AMBULATORIA,MONITOR MULTIPARÁMETROS MEDIANA COMPLEJIDAD,MINDRAY,UMEC10,KN-14105582,UQA-005-22,MM271-22,2,GARANTIA,ARQUIMED,3-marzo,NO,EJECUTADO,6. CERRADO,FÍSICO,OT192519,25-03-2025,Equipo operativo,,,,,,,,
2025-1,EC,QUIMIOTERAPIA AMBULATORIA,MONITOR MULTIPARÁMETROS MEDIANA COMPLEJIDAD,MINDRAY,UMEC10,KN-14105583,UQA-006-23,MM272-22,2,GARANTIA,ARQUIMED,3-marzo,NO,EJECUTADO,6. CERRADO,FÍSICO,OT192522,25-03-2025,Equipo operativo,,,,,,,,
2025-1,EC,URGENCIA,MÁQUINA DE ANESTESIA,DRÄGER,FABIUS GS PREMIUM,ASLB-0186,URG-042-18,MA008-18,2,CONTRATO,DRÄGER,3-marzo,NO,EJECUTADO,6. CERRADO,FÍSICO,SR.133.498,27-03-2025,Equipo operativo,,,,,,,,
2025-1,EC,URGENCIA,MONITOR MULTIPARÁMETROS ALTA COMPLEJIDAD,DRÄGER,VISTA 120,VTSKM0168,URG-043-18,MM032-18,2,CONTRATO,DRÄGER,3-marzo,NO,EJECUTADO,6. CERRADO,FÍSICO,SR.133.500,25-03-2025,Equipo operativo,,,,,,,,
2025-1,EC,PARTOS,MÁQUINA DE ANESTESIA,DRÄGER,FABIUS TIRO M,ASBL-0086,,MA011-23(D),2,CONTRATO,DRÄGER,3-marzo,NO,EJECUTADO C/O,6. CERRADO,FÍSICO,SR.133.516,27-03-2025,Equipo NO OPERATIVO,,,,,,,,
2025-1,EC,PABELLÓN QUIRÚRGICO AMBULATORIO,MÁQUINA DE ANESTESIA,DRÄGER,FABIUS TIRO M,ARZM-0132,,MA012-23(D),2,CONTRATO,DRÄGER,3-marzo,NO,EJECUTADO,6. CERRADO,FÍSICO,SR.133.515,27-03-2025,Equipo operativo,,,,,,,,
2025-1,EC,MEDICINA,MONITOR DESFIBRILADOR,NIHON KOHDEN,TEC-5521E,64,MD001-06,MD001-06,2,INTERNO,EEMM,4-abril,NO,EJECUTADO,6. CERRADO,DIGITAL,6393,31-03-2025,Equipo operativo,,,,,,,,
2025-1,EC,CDT - POLICLÍNICO NEUROLOGÍA,MONITOR DESFIBRILADOR,NIHON KOHDEN,TEC-5521E,262,MD002-06,MD002-06,2,INTERNO,EEMM,4-abril,NO,EJECUTADO,6. CERRADO,DIGITAL,6566,25-04-2025,"Se realiza cambio de batería, equipo operativo",,,,,,,,
2025-1,EC,MEDICINA NUCLEAR,MONITOR DESFIBRILADOR,NIHON KOHDEN,TEC-5531E,1474,MD004-08,MD004-08,2,INTERNO,EEMM,4-abril,NO,EJECUTADO,6. CERRADO,DIGITAL,6570,25-04-2025,"Se realiza cambio de batería, equipo operativo",,,,,,,,
2025-1,EC,UCP PEDIÁTRICOS,MONITOR DESFIBRILADOR,NIHON KOHDEN,TEC-5531E,1051,MD005-08,MD005-08,2,INTERNO,EEMM,4-abril,NO,EJECUTADO,6. CERRADO,DIGITAL,6385,31-03-2025,Equipo operativo,,,,,,,,
2025-1,EC,NEUROLOGIA,MONITOR DESFIBRILADOR,NIHON KOHDEN,TEC-5531E,2591,MD006-12,MD006-12,2,INTERNO,EEMM,4-abril,NO,EJECUTADO,6. CERRADO,DIGITAL,6389,31-03-2025,"Equipo operativo, bateria (4)",,,,,,,,
2025-1,EC,UROLOGÍA,MONITOR DESFIBRILADOR,NIHON KOHDEN,TEC-5531E,2603,MD007-12,MD007-12,2,INTERNO,EEMM,4-abril,NO,EJECUTADO,6. CERRADO,DIGITAL,6391,31-03-2025,Equipo operativo,,,,,,,,
2025-1,EC,CIRUGIA,MONITOR DESFIBRILADOR,NIHON KOHDEN,TEC-5531E,2606,MD008-12,MD008-12,2,INTERNO,EEMM,4-abril,NO,EJECUTADO,6. CERRADO,DIGITAL,6390,31-03-2025,Equipo operativo,,,,,,,,
2025-1,EC,PABELLÓN QUIRÚRGICO CENTRAL,MONITOR DESFIBRILADOR,NIHON KOHDEN,TEC-5521E,1838,MD009-12,MD009-12,2,INTERNO,EEMM,4-abril,NO,EJECUTADO,6. CERRADO,FÍSICO,6396,31-03-2025,Equipo operativo,,,,,,,,
2025-1,EC,PEDIATRÍA,MONITOR DESFIBRILADOR,NIHON KOHDEN,TEC-5531E,2597,MD010-12,MD010-12,2,INTERNO,EEMM,4-abril,NO,EJECUTADO,6. CERRADO,DIGITAL,6394,31-3-2025,Equipo operativo,,,,,,,,
