RESPONSABLE CATASTRO,FECHA,SERVICIO CLÍNICO,RECINTO (SECTOR),RECINTO,CLASE,SUBCLASE,NOMBRE EQUIPO,SUB EQUIPO,MARCA,MODELO,SERIE,N° INVENTARIO,NIC,AÑO DE ADQUISICIÓN,ORIGEN,COSTO,PROPIO / ARRIENDO / COMODATO,ESTADO (BUENO / REGULAR / MALO / BAJA),GESTIÓN AMBIENTAL,PMP,CRÍTICO/ RELEVANTE / IM≥12 / NO APLICA,APLICA LICITACIÓN,OBSERVACIÓN
HERMAN,20-03-2024,DIALISIS,2DO PISO DIÄLISIS,Sala hemodiálisis,Apoyo Terapéutico,Mediano Costo,Máquina de diálisis,,FRESENIUS KABI,4008S,9SXA0ZWN,306A2P006707,HD009-19,2019,,,PROPIO,BUENO,300W,,CRÍTICO,,
HERMAN,20-03-2024,DIALISIS,2DO PISO DIÄLISIS,Sala hemodiálisis,Apoyo Terapéutico,Mediano Costo,Máquina de diálisis,,FRESENIUS KABI,4008S,9SXA0ZWQ,306A2P006708,HD010-19,2019,,,PROPIO,BUENO,300W,,CRÍTICO,,
HERMAN,20-03-2024,DIALISIS,2DO PISO DIÄLISIS,Sala hemodiálisis,Apoyo Terapéutico,Mediano Costo,Máquina de diálisis,,FRESENIUS KABI,4008S,9SXA0ZWS,306A2P006709,HD011-19,2019,,,PROPIO,BUENO,300W,,CRÍTICO,,
HERMAN,20-03-2024,DIALISIS,2DO PISO DIÄLISIS,Sala hemodiálisis,Apoyo Terapéutico,Mediano Costo,Máquina de diálisis,,FRESENIUS KABI,4008S,9SXA0ZWU,306A2P006710,HD012-19,2019,,,PROPIO,BUENO,300W,,CRÍTICO,,
HERMAN,20-03-2024,DIALISIS,2DO PISO DIÄLISIS,Sala de equipos A-229,Apoyo Terapéutico,Mediano Costo,Máquina de diálisis,,FRESENIUS KABI,4008S,9SXA0ZWW,NO ENCONTRADO,HD013-19,2019,,,PROPIO,BUENO,300W,,CRÍTICO,,
HERMAN,10-09-2024,UNIDAD PACIENTE CRITICO (UPC),1ER PISO UCI,BODEGA,Apoyo Terapéutico,ALTO COSTO,Máquina de diálisis,,FRESENIUS KABI,4008S CLASSIC,9SXA1JNG,,HD014-20,2020,,,PROPIO,BUENO,2500 VA,,CRÍTICO,,
HERMAN,20-03-2024,DIALISIS,2DO PISO DIÄLISIS,Sala de equipos A-229,Apoyo Terapéutico,Mediano Costo,Máquina de diálisis,,B-BRAUN,DIALOG+ HDF,301493,NO ENCONTRADO,HD015-16,2016,,,PROPIO,BUENO,2500 VA,,CRÍTICO,,
HERMAN,14-02-2024,UNIDAD PACIENTE CRITICO (UPC),1ER PISO - UCI,UCI 1,Apoyo Terapéutico,Alto Costo,Máquina hemodiafiltración portátil,,B-BRAUN,OMNI,180400470,NO ENCONTRADO,HD016-19,2019,,,PROPIO,BUENO,500 VA,,CRÍTICO,,
ALEXANDRA,15-02-2024,ANATOMIA PATOLOGICA,Recepción muestras,P022,Laboratorio/Farmac,Mediano Costo,Gabinete de extracción de gases,,ESCO,SPD-3A1,2022-191790,NO ENCONTRADO,IM001-23,2023,,,PROPIO,NO OPERATIVO,60 W,,IM>12,,
ALEXANDRA,15-02-2024,ANATOMIA PATOLOGICA,ANAT. PAT,ANAT. PAT,Laboratorio/Farmac,Mediano Costo,Gabinete de extracción de gases,,PROLAB,GE615,3-2734,NO ENCONTRADO,IM002-03,2003,,,PROPIO,NO OPERATIVO,230VA,,IM>12,,
ALEXANDRA,15-02-2024,ANATOMIA PATOLOGICA,ANAT. PAT,ANAT. PAT,Laboratorio/Farmac,Mediano Costo,Gabinete de extracción de gases,,PROLAB,CA15E,CA1532015170,NO ENCONTRADO,IM003-10,2008,,,PROPIO,BUENO,550W / 220V,,IM>12,,Neutralizador de formalina
ALEXANDRA,15-02-2024,ANATOMIA PATOLOGICA,ANAT. PAT,P025,Laboratorio/Farmac,Alto Costo,Estación macroscopía,,MOTECH,GL105,5114,CP-5345,IM004-10,2017,,,PROPIO,BUENO,230VA,,IM>12,,"catastrado como GL105, serie 5114"
ALEXANDRA,15-02-2024,ANATOMIA PATOLOGICA,Analisis macroscopia,P025,Laboratorio/Farmac,Mediano Costo,Estación macroscopía,,HIPLAAS,EVO-150,ME070-23,NO ENCONTRADO,IM005-23,2023,1552-12-LQ23," $ 42,828,100 ",PROPIO,BUENO,350W,,IM>12,,
HERMAN,20-03-2024,LABORATORIO,2DO PISO LABORATORIO,MICROBACTERIAS,Laboratorio/Farmac,Alto Costo,Gabinete de bioseguridad,,CIENTEC,,BH-EN-2000,NO ENCONTRADO,IM006-23,2023,,,PROPIO,BUENO,230VA,,IM>12,,
HERMAN,06-08-2024,LABORATORIO DE BIOLOGÍA MOLECULAR,CDT CALLE VICUÑA,SALA3,Laboratorio/Farmac,Alto Costo,Gabinete de bioseguridad,,NUAIRE,NV 540-300E,196614013120,NO ENCONTRADO,IM007-20,2020,Donación CODELCO,,PROPIO,BUENO,230VA,,IM>12,,
Iliam,18-06-2024,CDT - POLICLINICO DE OFTALMOLOGIA,1ER PISO CDT,SALA DE PROCEDIMIENTOS BOX 5,Apoyo Diagnóstico,Alto Costo,Angiógrafo retinal,,ZEISS,VISUCAM 500,1101342,NO ENCONTRADO,,2012,,,PROPIO,BUENO,340 VA,,RELEVANTE,,
Iliam,18-06-2024,CDT - POLICLINICO DE OFTALMOLOGIA,1ER PISO CDT,SALA DE PROCEDIMIENTOS BOX 1,Apoyo Diagnóstico,Alto Costo,Autoquerátomorefractómetro,,HUVITZ,HNT-1P,1RK0001840056,306D1P206697,,2019,,,PROPIO,BUENO,40VA,,IM>12,,
ALEXANDRA,15-02-2024,CDT - POLICLINICO DE OFTALMOLOGIA,1ER PISO CDT,D3 SALA DE PROCEDIMIENTOS BOX 4,Apoyo Diagnóstico,Alto Costo,Campímetro computarizado,,CARL ZEISS,HFA 3-860,860-10755,NO ENCONTRADO,IM045-15,2015,,,PROPIO,BUENO,100W,,IM>12,,
HERMAN,05-08-2025,CDT - POLICLINICO DE OFTALMOLOGIA,1ER PISO CDT,D3 SALA DE PROCEDIMIENTOS BOX 4,Apoyo Diagnóstico,Alto Costo,Campímetro computarizado,,TAGAKI,MT-325UD,0908535,,,,,,PROPIO,BUENO,,,,,
HERMAN,18-06-2024,CDT - POLICLINICO DE OFTALMOLOGIA,1ER PISO CDT,D3 SALA DE PROCEDIMIENTOS BOX 6,Imagenología,Alto Costo,Ecografo oftalmológico,,NIDEK,US-4000,41651,NO ENCONTRADO,,2018,,,PROPIO,BUENO,70 VA,,RELEVANTE,,
Iliam,18-06-2024,CDT - POLICLINICO DE OFTALMOLOGIA,1ER PISO CDT,SALA DE PROCEDIMIENTOS BOX 5,Apoyo Diagnóstico,Alto Costo,Lámpara de hendidura,,TOPCOM,SL-5D,503221,306D1P001748,,2023,DONACIÓN FEDES,0,PROPIO,BUENO,40 VA,,NO APLICA,ampolletas,DONACIÓN FEDES
Iliam,18-06-2024,CDT - POLICLINICO DE OFTALMOLOGIA,1ER PISO CDT,SALA DE PROCEDIMIENTOS BOX 8,Apoyo Diagnóstico,Alto Costo,Lámpara de hendidura,,TOPCOM,SL-D8Z,805229,306D1P041723,,2023,DONACIÓN FEDES,0,PROPIO,BUENO,40 VA,,NO APLICA,ampolletas,DONACIÓN FEDES
HERMAN,18-06-2024,CDT - POLICLINICO DE OFTALMOLOGIA,1ER PISO CDT,SALA DE PROCEDIMIENTOS BOX 3,Apoyo Diagnóstico,Alto Costo,Lámpara de hendidura,,TOPCOM,SL-2ED,1228082,NO ENCONTRADO,,,,,PROPIO,BUENO,40 VA,,NO APLICA,ampolletas,
HERMAN,18-06-2024,CDT - POLICLINICO DE OFTALMOLOGIA,,,Apoyo Diagnóstico,Alto Costo,Lámpara de hendidura,,TOPCOM,SL-2ED,206402,NO ENCONTRADO,,,,,PROPIO,BAJA SUGERIDA (YA REPUESTO),160 VA,,NO APLICA,ampolletas,
HERMAN,22-05-2025,CDT - POLICLINICO DE OFTALMOLOGIA,1ER PISO CDT,SALA DE PROCEDIMIENTOS BOX 6,Apoyo Diagnóstico,Alto Costo,Lámpara de hendidura,,NIDEK,SL 1600,50603,NO ENCONTRADO,,,,,PROPIO,BUENO,40 VA,,NO APLICA,ampolletas,
HERMAN,01-07-2025,CDT - POLICLINICO DE OFTALMOLOGIA,1ER PISO CDT,SALA DE PROCEDIMIENTOS BOX 7,Apoyo Diagnóstico,Alto Costo,Lámpara de Hendidura,,VISIONIX,MW 50D,5410547,,,2025,OC 1554-1103-AG25,$ 6.810.370,PROPIO,BUENO,,,IM>12,,
ALEXANDRA,15-02-2024,ANATOMIA PATOLOGICA,ANAT. PAT,P027,Apoyo Quirúrgico,Mediano Costo,Lámpara de examen,,MARAVILL,MAGNIFIER LAMP,8064D,NO ENCONTRADO,,2007,,,PROPIO,BUENO,26 VA,,NO APLICA,Ampolletas,
ALEXANDRA,15-02-2024,ANATOMIA PATOLOGICA,ANAT. PAT,P027,Apoyo Quirúrgico,Mediano Costo,Lámpara de examen,,MARAVILL,MAGNIFIER LAMP,SIN SERIE 5,NO ENCONTRADO,,,,,PROPIO,BUENO,26 VA,,NO APLICA,Ampolletas,
ALEXANDRA,15-02-2024,ANATOMIA PATOLOGICA,ANAT. PAT,P027,Apoyo Quirúrgico,Mediano Costo,Lámpara de examen,,MARAVILL,MAGNIFIER LAMP,SIN SERIE 6,NO ENCONTRADO,,,,,PROPIO,BUENO,26 VA,,NO APLICA,Ampolletas,
ALEXANDRA,19-02-2024,INMUNOLOGIA Y VIH,TOMA DE MUESTRAS,U2029,Apoyo Quirúrgico,Mediano Costo,Unidad electroquirúrgica (electrobisturí),,ERBE,VIO 300D,11321494,NO ENCONTRADO,IM021-18,2018,,,PROPIO,BUENO,80 W,,IM>12,,IM SEGÚN OMS
HERMAN,26-02-2024,PABELLÓN CENTRAL,1ER PISO PABELLÓN CENTRAL,PAELLON 6,Apoyo Quirúrgico,Mediano Costo,Unidad electroquirúrgica (electrobisturí),,COVIDIEN - VALLEYLAB,FORCE FX8C,F2K24444A,NO ENCONTRADO,IM022-17,2002,,,PROPIO,NO OPERATIVO,300 W,,IM>12,,"NO OPERATIVO, IM SEGÚN OMS"
HERMAN,26-02-2024,PABELLÓN CENTRAL,1ER PISO PABELLÓN CENTRAL,PABELLON 4,Apoyo Quirúrgico,Mediano Costo,Unidad electroquirúrgica (electrobisturí),,COVIDIEN - VALLEYLAB,FORCE FX8C,S2F05208AX,NO ENCONTRADO,IM023-17,2012,,,PROPIO,BUENO,300 W,,IM>12,,IM SEGÚN OMS
HERMAN,13-03-2024,PABELLÓN CENTRAL,CDT - PABELLÓN AMBULATORIO,PABELLON 2,Apoyo Quirúrgico,Mediano Costo,Unidad electroquirúrgica (electrobisturí),,COVIDIEN - VALLEYLAB,FORCE FX8C,F6K50461A,NO ENCONTRADO,IM024-17,2006,,,PROPIO,BUENO,300 W,,IM>12,,IM SEGÚN OMS
HERMAN,13-03-2024,PABELLÓN CENTRAL,CDT - PABELLÓN AMBULATORIO,PABELLON 2,Apoyo Quirúrgico,Mediano Costo,Unidad electroquirúrgica (electrobisturí),,COVIDIEN - VALLEYLAB,FORCE FX8C,F6D60421A,NO ENCONTRADO,IM025-17,2008,,,PROPIO,BUENO,300 W,,IM>12,,IM SEGÚN OMS
HERMAN,13-03-2024,PABELLÓN CENTRAL,CDT - PABELLÓN AMBULATORIO,PABELLON 2,Apoyo Quirúrgico,Mediano Costo,Unidad electroquirúrgica (electrobisturí),,COVIDIEN - VALLEYLAB,FORCE FX8C,S2F05209AX,NO ENCONTRADO,IM026-12,2012,,,PROPIO,BUENO,300 W,,IM>12,,IM SEGÚN OMS
ALEXANDRA,27-02-2024,PABELLÓN CENTRAL,1ER PISO PABELLÓN CENTRAL,Pabellon 4,Apoyo Quirúrgico,Mediano Costo,Unidad electroquirúrgica (electrobisturí),,COVIDIEN - VALLEYLAB,FORCE FX8C,F6K50446A,NO ENCONTRADO,IM027-17,2006,,,PROPIO,NO OPERATIVO,800-960 VA,,IM>12,,"NO OPERATIVO, IM SEGÚN OMS"
HERMAN,19-03-2024,PABELLÓN CENTRAL,CDT - PABELLÓN AMBULATORIO,PABELLÓN 5,Apoyo Quirúrgico,Mediano Costo,Unidad electroquirúrgica (electrobisturí),,COVIDIEN - VALLEYLAB,FORCE FX8C,S2F05210AX,NO ENCONTRADO,IM028-17,2012,,,PROPIO,BUENO,300 W,,IM>12,,IM SEGÚN OMS
ALEXANDRA,27-02-2024,PABELLÓN CENTRAL,1ER PISO PABELLÓN CENTRAL,Pabellon 1,Apoyo Quirúrgico,Mediano Costo,Unidad electroquirúrgica (electrobisturí),,COVIDIEN - VALLEYLAB,FORCE FX,F6F76032AX,NO ENCONTRADO,IM029-18,2018,,,PROPIO,BUENO,300W,,IM>12,,IM SEGÚN OMS
HERMAN,17-06-2024,CDT - ENDOSCOPIA,1ER PISO ENDOSCOPIA,C033,Apoyo Quirúrgico,Alto Costo,Unidad electroquirúrgica (electrobisturí),,ZERONE,ZEUS 400,A00BUBL0016 / A03BUBL0620,NO ENCONTRADO,IM030-19,2019,,,PROPIO,BUENO,1200VA,,IM>12,,IM SEGÚN OMS
HERMAN,29-07-2024,INGENIERIA CLINICA Y EQUIPOS MEDICOS,BODEGA,BODEGA,Apoyo Quirúrgico,Mediano Costo,Unidad electroquirúrgica (electrobisturí),,COVIDIEN - VALLEYLAB,FORCE FX,F0H001012,F1H68684AX,IM031-23(D),2023,DONACIÓN FEDES,0,PROPIO,BUENO,500VA,,IM>12,,"DONACIÓN FEDES, IM SEGÚN OMS"
HERMAN,29-07-2024,PABELLÓN CENTRAL,CDT - PABELLÓN AMBULATORIO,PASILLO,Apoyo Quirúrgico,Mediano Costo,Unidad electroquirúrgica (electrobisturí),,COVIDIEN - VALLEYLAB,FORCE FX,F1H68684AX,306M1P001727,IM032-23(D),2023,DONACIÓN FEDES,0,PROPIO,BUENO,500VA,,IM>12,,"DONACIÓN FEDES, IM SEGÚN OMS"
HERMAN,29-07-2024,PABELLÓN CENTRAL,1ER PISO PARTOS,PABELLON GINE,Apoyo Quirúrgico,Mediano Costo,Unidad electroquirúrgica (electrobisturí),,COVIDIEN - VALLEYLAB,FORCE FX,F1J68890AX,306M1P001726,IM033-23(D),2023,DONACIÓN FEDES,0,PROPIO,BUENO,500VA,,IM>12,,"DONACIÓN FEDES, IM SEGÚN OMS"
ALEXANDRA,27-02-2024,PABELLÓN CENTRAL,1ER PISO PABELLÓN CENTRAL,Pasillo,Apoyo Quirúrgico,Mediano Costo,Unidad electroquirúrgica (electrobisturí),,COVIDIEN - VALLEYLAB,FT10,T3G66399DX,NO ENCONTRADO,IM034-23,2023,,,PROPIO,BUENO,300W,,IM>12,,IM SEGÚN OMS
ALEXANDRA,27-02-2024,PABELLÓN CENTRAL,1ER PISO PABELLÓN CENTRAL,Pasillo,Apoyo Quirúrgico,Mediano Costo,Unidad electroquirúrgica (electrobisturí),,COVIDIEN - VALLEYLAB,FT10,T3G66415DX,NO ENCONTRADO,IM035-23,2023,,,PROPIO,BUENO,950VA,,IM>12,,IM SEGÚN OMS
HERMAN,13-03-2024,PABELLÓN CENTRAL,CDT - PABELLÓN AMBULATORIO,PASILLO,Apoyo Quirúrgico,Mediano Costo,Unidad electroquirúrgica (electrobisturí),,ZERONE,ZEUZ VISIÓN,A02BSAQ0035,NO ENCONTRADO,IM036-18,2018,,,PROPIO,BUENO,1200VA,,IM>12,,IM SEGÚN OMS
HERMAN,13-03-2024,PABELLÓN CENTRAL,CDT - PABELLÓN AMBULATORIO,PASILLO,Apoyo Quirúrgico,Mediano Costo,Unidad electroquirúrgica (electrobisturí),,ZERONE,ZEUZ VISIÓN,A02BSAQ0036,NO ENCONTRADO,IM037-18,2018,,,PROPIO,BUENO,1200VA,,IM>12,,IM SEGÚN OMS
HERMAN,14-03-2024,PABELLÓN CENTRAL,CDT - PABELLÓN AMBULATORIO,PABELLON 2,Apoyo Quirúrgico,Mediano Costo,Unidad electroquirúrgica (electrobisturí),,COVIDIEN - VALLEYLAB,SURGISTAT LL,VL4807012,NO ENCONTRADO,IM038-08,2007,,,PROPIO,BUENO,360VA,,IM>12,,IM SEGÚN OMS
HERMAN,13-03-2024,PABELLÓN CENTRAL,CDT - PABELLÓN AMBULATORIO,C060 RECUPERACIÓN,Apoyo Quirúrgico,Alto Costo,Facoemulsificador,,OPTIKON,R-EVOLUTION CR,38BG,306MB1P06017175,IM039-22,2022,,,PROPIO,BUENO,750 VA,,IM>12,,
HERMAN,18-06-2024,CDT - POLICLINICO DE OFTALMOLOGIA,1ER PISO CDT,D3 SALA PROCEDIMIENTOS BOX 6,Apoyo Diagnóstico,Alto Costo,Láser micropulso,,IRIDEX,IQ532,IQG81861C,NO ENCONTRADO,IM040-19,2019,,,PROPIO,BUENO,750 VA,,IM>12,,
HERMAN,26-02-2024,PABELLÓN CENTRAL,1ER PISO PABELLÓN CENTRAL,PASILLO,Apoyo Terapéutico,Mediano Costo,Equipo láser urologico,,QUANTA SYSTEM,LITHO 45W,LHT0549-0318,NO ENCONTRADO,IM041-18,2018,,,PROPIO,BUENO,"10,0 A",,IM>12,,
HERMAN,16-12-2025,INMUNOLOGIA Y VIH,2DO PISO CDT,U2006,Apoyo Terapéutico,Mediano Costo,Visualizador de Venas,,CHRISTIE+,FLEXB00908H,LHT0549-0318,NO ENCONTRADO,IM041-18,2018,,,PROPIO,BUENO,"10,0 A",,IM>12,,
HERMAN,06-08-2024,CDT - POLICLINICO DE OFTALMOLOGIA,1ER PISO CDT,SALA DE PROCEDIMIENTOS BOX 6,Apoyo Diagnóstico,Alto Costo,Láser yag,,LIGHTMED,LIGHTLAS TAG,UYL001901U-080032,NO ENCONTRADO,IM042-19,2019,,,PROPIO,BUENO,500va,,IM>12,,
HERMAN,18-03-2024,UNIDAD DE INTERVENCIÓN TERAPÉUTICA MULTIDISCIPLINARIA (REHABILITACIÓN),1ER PISO CDT,BOX 6,Med. Física y Rehabilitación,Mediano Costo,Equipo láser terapia,,CHATTANOOGA,2779,1933,NO ENCONTRADO,IM043-00,,,,PROPIO,BUENO,75 VA,,IM>12,,
ALEXANDRA,27-02-2024,PABELLÓN CENTRAL,1ER PISO PABELLÓN CENTRAL,Pasillo,Apoyo Quirúrgico,Mediano Costo,Lithoclast,,EMS,SWISS LITHOCLAST2,BG00326,NO ENCONTRADO,IM044-00,2008,,,PROPIO,BUENO,40VA,,IM>12,,
HERMAN,18-06-2024,CDT - POLICLINICO DE OFTALMOLOGIA,1ER PISO CDT,D3 SALA PROCEDIMIENTOS BOX 6,Apoyo Diagnóstico,Alto Costo,Led slit lamp,,IRIDEX,SL9800 5X,19060058,NO ENCONTRADO,,,,,PROPIO,BUENO,NA,,NO APLICA,,
HERMAN,18-03-2024,UNIDAD DE INTERVENCIÓN TERAPÉUTICA MULTIDISCIPLINARIA (REHABILITACIÓN),1ER PISO CDT,BOX 10 FUNCIÓN PULMONAR,Med. Física y Rehabilitación,Alto Costo,Espirómetro,,MGC DIAGNOSTICS,CPFS/D - USB,220007271,NO ENCONTRADO,IM046-00,2023,,,PROPIO,BUENO,1000W,,IM>12,,
