N°,AÑO,FECHA,TIPO,UNIDAD,CANTIDAD,EQUIPO,MARCA,SERIE,OBSERVACIÓN
AE-013-16,2016,20/01/2016,ACCESORIOS,MATERNIDAD,,06 BOMBAS DE INFUSION,HOSPIRA,HOSPIRA,
AE-014-16,2016,20/01/2016,ACCESORIOS,ANATOMÍA PATOLÓGICA,,01 BULTO CON FILTROS,S/P,S/M,
AE-015-16,2016,25/01/2016,ACCESORIOS,URGENCIA,,02 BOMBA DE INFUSION,HOSPIRA,HOSPIRA,
AE-016-16,2016,25/01/2016,REPARACION,MATERNIDAD,,01 INCUBADORA,PV EQUIP,G.E.,
AE-017-16,2016,25/01/2016,ACCESORIOS,NEONATOLOGIA,,07 BOMBAS DE INFUSION,HOSPIRA,HOSPIRA,
AE-018-16,2016,27/01/2016,REPARACION,ENDOSCOPIA,,01 VIDEOPANENDOSCOPIO,ZEPEDA,FUJINON,
AE-019-16,2016,27/01/2016,ACCESORIOS,UPC ADULTO,,03 BOMBAS DE INFUSION,HOSPIRA,HOSPIRA,
AE-020-16,2016,27/01/2016,ACCESORIOS,URGENCIA,,01 BOMBA DE INFUSION,HOSPIRA,HOSPIRA,
AE-021-16,2016,28/01/2016,ACCESORIOS,UCE,,04 BOMBAS DE INFUSION,HOSPIRA,HOSPIRA,
AE-022-16,2016,28/01/2016,ACCESORIOS,BLOQUE QUIRURGICO,,03 BOMBAS DE INFUSION,HOSPIRA,HOSPIRA,
AE-023-16,2016,28/01/2016,ACCESORIOS,BLOQUE MEDICO,,02 BOMBAS DE INFUSION,HOSPIRA,HOSPIRA,
AE-024-16,2016,29/01/2016,REPARACION/EQUIPO NUEVO,PABELLON,,"01 ADAPTADOR DE SIERRA, 01 PEDAL",SYNTHES/SUR MEDICA,SYNTHES/OLYMPUS,
AE-025-16,2016,29/01/2016,EQUIPO NUEVO,ESTERILIZACION,,01 TESTER DE HERMETICIDAD,SUR MEDICA,OLYMPUS,
AE-026-16,2016,29/01/2016,EQUIPO NUEVO,UPC ADULTO,,01 MODULO PANI,ANDOVER,PHILIPS,
AE-027-16,2016,01/02/2016,REPARACION,POLI ARO,,01 DETECTOR DE LATIDOS FETALES,S/P,CAREFUSION,
AE-028-16,2016,03/02/2016,EQUIPO NUEVO,ENDOSCOPIA,,01 OXIMETRO DE PULSO PORTATIL,S/P,FINGERTIP,
AE-029-16,2016,04/02/2016,ACCESORIOS,UPC ADULTO,,"06 SENSOR SpO2, CABLE Y PARCHE MARCAPASO",S/P,S/M,
AE-030-16,2016,05/02/2016,ACCESORIOS,ENDOSCOPIA,,"02 AMPOLLETAS, SET DE LAVADO, FILTRO AIRE",ZEPEDA,FUJIFILM Y MEDIAVATORS,
AE-031-16,2016,09/02/2016,EQUIPO NUEVO,PEDIATRIA UCI,,01 RESUCITADOR MANUAL,S/P,AMBU,
AE-032-16,2016,12/02/2016,EQUIPO NUEVO,UPC ADULTO,,12 BOMBAS PARA JERINGA,PV EQUIP,CAREFUSION,
AE-033-16,2016,12/02/2016,EQUIPO NUEVO,UCE,,06 BOMBAS PARA JERINGA,PV EQUIP,CAREFUSION,
AE-034-16,2016,12/02/2016,EQUIPO NUEVO,BLOQUE MEDICO,,03 BOMBAS PARA JERINGA,PV EQUIP,CAREFUSION,
AE-035-16,2016,12/02/2016,EQUIPO NUEVO,BLOQUE QUIRURGICO,,03 BOMBAS PARA JERINGA,PV EQUIP,CAREFUSION,
AE-037-16,2016,17/02/2016,ACCESORIOS,PARTO,,01 SET DE LARINGOSCOPIO,S/P,WELCH ALLYN,
AE-038-16,2016,19/02/2016,EQUIPO,PABELLON,,01 EQUIPO LITHOCLAST,ATM,S/M,
AE-036-16,2016,22/02/2016,ACCESORIOS,POLI ARO,,01 TOCO ULTRASONIDO,PV EQUIP,GENERIC ELECTRIC,
AE-042-16,2016,23/02/2016,ACCESORIOS,PEDIATRIA,,04 CUFF NEONATAL,PHILIPS,PHILIPS,
AE-039-16,2016,25/02/2016,EQUIPO,POLI TACO,,01 ANALIZADOR DE COAGULACION (COMODATO),SIEMENS,SIEMENS,
AE-040-16,2016,25/02/2016,EQUIPO,LABORATORIO,,01 ANALIZADOR DE COAGULACION (COMODATO),XPRECIA STRIDE,SIEMENS,
AE-041-16,2016,25/02/2016,ACCESORIOS,BLOQUE MEDICO,,04 PINZAS; 06 PERAS PRECORDIALES,S/P,S/M,
AE-043-16,2016,29/02/2016,ACCESORIOS,UPC ADULTO,,05 PARCHES MARCAPASO,ARQUIMED,S/M,
AE-044-16,2016,29/02/2016,ACCESORIOS,UCE,,05 PARCHES MARCAPASO; 01 CABLE PARA PARCHE,ARQUIMED,NIHON KOHDEN,
AE-045-16,2016,29/02/2016,ACCESORIOS,PEDIATRIA,,01 SENSOR SpO2,S/P,SOFT,
AE-046-16,2016,02/03/2016,EQUIPO,MATERNIDAD,,01 DETECTOR DE LATIDOS FETALES,PV EQUIP,CAREFUSION,
AE-048-16,2016,02/03/2016,ACCESORIOS,ENDOSCOPIA,,01 ADAPTADOR DE LAVADO,ZEPEDA,FUJINON,
AE-049-16,2016,04/03/2016,EQUIPO,PABELLON,,01 BOMBA DE INFUSION,HOSPIRA,HOSPIRA,
AE-047-16,2016,10/03/2016,EQUIPO,SERVICIOS GENERALES,,01 REGULADOR DE OXIGENO,CGA 870,CORPUS,
AE-050-16,2016,15/03/2016,EQUIPO,NEONATOLOGIA,,01 ECOCARDIOGRAFO,HOSER,GENERIC ELECTRIC,
AE-052-16,2016,15/03/2016,ACCESORIOS,PEDIATRIA/UCPP,,04 SET ASPIRACION; 10 FRASCOS ASPIRACION;,C&U,S/M,
AE-051-16,2016,17/03/2016,ACCESORIOS,PABELLON,,02 MODULOS DE PODER,SYNTHES CHILE,SYNTHES,
AE-054-16,2016,22/03/2016,ACCESORIOS,UCE,,01 TRONCAL SPO2; 02SENSOR SPO2; 09 SENSOR Tº; 06 TRONCAL PANI; 04 MANGOS PANI,S/P,S/M,
AE-053-16,2016,23/03/2016,ACCESORIOS,NEONATOLOGIA,,10 SENSOR SpO2 MULTI SITIO,S/P,NIHON KOHDEN,
AE-054-16,2016,24/03/2016,ACCESORIOS,URGENCIA MATERNIDAD,,06 ESPECULO RECTAL; 01 ANUSCOPIO; 01 RETR. ANAL; 06 RIÑON; 03 PINZA; 03 TIJERA,RUDOLF,S/M,
AE-055-16,2016,28/03/2016,ACCESORIOS,UPC ADULTO,,01 MODULO PANI; 02 BOMBAS DE INFUSION; 01 CABLE ECG; 02 SENSOR SpO2,S/P,PHILIPS;HOSPIRA;UNIMED,
AE-056-16,2016,28/03/2016,ACCESORIOS,PEDIATRIA,,01 SENSOR Tº; 02 SENSOR SpO2,ARQUIMED,NIHON KOHDEN,
AE-059-16,2016,28/03/2016,EQUIPO,ENDOSCOPIA,,01 VIDEOCOLONOSCOPIO,ZEPEDA,FUJINON,
AE-057-16,2016,29/03/2016,EQUIPO,PABELLON,,01 LITHOCLAST,ATM,EMS,
AE-058-16,2016,30/03/2016,EQUIPO,UPC ADULTO,,02 BOMBAS DE INFUSION,HOSPIRA,HOSPIRA,
AE-060-16,2016,06/04/2016,EQUIPO,PEDIATRIA,,01 REGULADOR DE OXIGENO,INDURA,HARRIS,
AE-061-16,2016,11/04/2016,EQUIPO,UPC ADULTO,,01 RX PORTATIL,AGINSA,SHIMADZU,
AE-062-16,2016,14/04/2016,EQUIPO,URGENCIA,,01 MONITOR MULTIPARAMETRO,ANDOVER,PHILIPS,
AE-063-16,2016,19/04/2016,EQUIPO,PABELLON,,01 MOTOR DE TREPANO; 01 FRESA TREPANO,S/P,MEDICON,
AE-064-16,2016,27/04/2016,EQUIPO,IMAGENOLOGIA,,01 CALENTADOR DE CONTRASTES,S/P,THERMO,
AE-065-16,2016,06/05/2016,ESQUIPO,ANATOMÍA PATOLÓGICA,,01 GABINETE DE ALMACENAJE QUIMICO,ARQUIMED,MONMOUTH SCIENTIFIC,
AE-066-16,2016,02/06/2016,EQUIPO,PABELLON,,01 FUENTE DE LUZ; 01 PROCESADOR; 01 CABEZAL CAMARA; 01 MONITOR LCD,REICH,KARL STORZ,
AE-067-16,2016,15/06/2016,EQUIPO,UPC ADULTO,,01 REGULADOR DE OXIGENO,INDURA,HARRIS,
AE-068-16,2016,29/06/2016,EQUIPO,IMAGENOLOGIA,,01 ECOGRAFO; 04 TRANSDUCTORES,S/P,GENERIC ELECTRIC,
AE-069-16,2016,30/06/2016,EQUIPO,URGENCIA,,01 REGULADOR DE OXIGENO,INDURA,CORPUS,
AE-070-16,2016,06/07/2016,ACCESORIOS,UPC ADULTO,,01 MODULO PAI,ANDOVER,PHILIPS,
AE-071-16,2016,11/07/2016,EQUIPO,NEONATOLOGIA,,02 BOMBAS DE INFUSION,HOSPIRA,HOSPIRA,
AE-072-16,2016,11/07/2016,EQUIPO,URGENCIA,,01 BOMBA DE INFUSION,HOSPIRA,HOSPIRA,
AE-073-16,2016,11/07/2016,EQUIPO,PABELLON,,01 BOMBA DE INFUSION,HOSPIRA,HOSPIRA,
AE-074-16,2016,11/07/2016,EQUIPO,TRAUMATOLOGIA,,02 BOMBAS DE INFUSION,HOSPIRA,HOSPIRA,
AE-075-16,2016,14/07/2016,EQUIPO,POLI EEG,,01 DISCO DURO,S/P,WD,
AE-076-16,2016,14/07/2016,EQUIPO,PEDIATRIA,,01 MODULO PANI,ANDOVER,PHILIPS,
AE-077-16,2016,21/07/2016,EQUIPO,NEONATOLOGIA,,01 INCUBADORA,PV EQUIP,GENERIC ELECTRIC,
AE-078-16,2016,28/07/2016,EQUIPO,NEONATOLOGIA,,02 BOMBAS DE INFUSION,HOSPIRA,HOSPIRA,
AE-079-16,2016,01/08/2016,EQUIPO,PEDIATRIA,,02 BOMBAS DE INFUSION,HOSPIRA,HOSPIRA,
AE-080-16,2016,05/08/2016,EQUIPO,PABELLON AMBULATORIO,,03 BOMBAS DE INFUSION,HOSPIRA,HOSPIRA,
AE-081-16,2016,05/08/2016,EQUIPO,PABELLON,,02 MONITORES MULTIPARAMETROS,S/P,GENERIC ELECTRIC,
AE-083-16,2016,09/08/2016,EQUIPO,PABELLON,,04 FIBRAS QEUIPO LASER,CENCOMEX,COOK,
AE-084-16,2016,09/08/2016,EQUIPO,SEDILE,,03 BOMBAS DE ALIMENTACION,FRESENIUS KABI,APPLIX SMART,
AE-085-16,2016,12/08/2016,EQUIPOS,UPC ADULTO,,01 ECOGRAFO; 01 TRANSDUCTORES,HOSER,GENERIC ELECTRIC,
AE-086-16,2016,12/08/2016,EQUIPO,LABORATORIO,,01 MICROSCOPIO,S/P,LEICA,
AE-089-16,2016,25/08/2016,EQUIPO,UPC ADULTO,,01 PHILIPS RESPIRATRONICS TRILOGY 100,ANDOVER,S/M,
AE-099-16,2016,03/09/2016,ACCESORIOS,PABELLON,,11 SOPORTE CONCAVO; 10 SOPORTE LATERALES,RUDOLF,TRUMPF,
AE-100-16,2016,03/09/2016,ACCESORIOS,BLOQUE MEDICO,,03 MANGUILLOS DE PANI,S/P,S/M,
AE-087-16,2016,05/09/2016,ACCESORIOS,PEDIATRIA,,04 SENSORES SpO2,S/P,UNIMED,
AE-088-16,2016,09/09/2016,ACCESORIOS,PABELLON,,08 CORREAS; 01 01 SOPORTE CONCAVO; 02 SOPORTE LATERALES; 16 FIJADORES RADIALES,RUDOLF,TRUMPF,
AE-090-16,2016,14/09/2016,ACCESORIOS,NEONATOLOGIA,,04 SENSORES DE FLUJO,PM CONSULTING,SLE,
AE-091-16,2016,15/09/2016,EQUIPO,POLICLINICO CARDIOVASCULAR,,01 PROGRAMADOR MARCAPASO,MEDTRONIC,MEDTRONIC,
AE-092-16,2016,16/09/2016,ACCESORIOS,NEONATOLOGIA,,04 SENSORES SpO2,OMEGA,MASIMO,
AE-093-16,2016,16/09/2016,EQUIPO,PARTO,,01 OXIMETRO DE PULSO,PV EQUIP,MASIMO,
AE-094-16,2016,23/09/2016,EQUIPO,PEDIATRIA,,01 MONITOR MULTIPARAMETRO,ARQUIMED,NIHON KOHDEN,
AE-095-16,2016,23/09/2016,EQUIPO,PEDIATRIA,,04 BOMBAS DE INFUSION,HOSPIRA,HOSPIRA,
AE-096-16,2016,23/09/2016,ACCESORIOS,MATERNIDAD,,01 SENSOR SpO2,ARQUIMED,NIHON KOHDEN,
AE-097-16,2016,27/09/2016,EQUIPO,LABORATORIO,,01 CONTADOR DIGITAL DE CELULAS,ARQUIMED,GEMMY,
AE-098-16,2016,29/09/2016,ACCESORIOS,PABELLON,,02 TUBO NBP; 02 SENSOR SpO2; 02 MANGUITO NBP; 02 CABLE ECG (3); 02 CABLE ECG (5),DRAGUER,DRAGUER,
AE-102-16,2016,08/11/2016,EQUIPO,NEONATOLOGIA,,01 AUDIOMETRO; 01 COMPUTADOR,GAES,TITAN/HP,
AE-101-16,2016,14/11/2016,EQUIPO,LABORATORIO,,01 CENTRIFUGA,GRUPO BIOS,THERMO,
AE-103-16,2016,14/11/2016,ACCESORIOS,BLOQUE QUIRURGICO,,01 SET DE PINZAS ECG,S/P,S/M,
AE-104-16,2016,14/11/2016,EQUIPO,UPC ADULTO,,01 CAMA ELECTROMECANICA,S/P,JOSON-CARE,
AE-105-16,2016,15/11/2016,EQUIPO,MEDICINA NUCLEAR,,01 DETECTOR DE RADIACION IONIZANTE,S/P,S.E.I.,
AE-106-16,2016,15/11/2016,ACCESORIOS,UPC ADULTO,,05 BOMBAS DE INFUSION,HOSPIRA,HOSPIRA,
AE-107-16,2016,15/11/2016,EQUIPO,ENDOSCOPIA,,01 BIDEOENDOSCOPIA,ZEPEDA,FUJINON,
AE-108-16,2016,15/11/2016,ACCESORIOS,PABELLON,,01 TIGERA CERAMICA; 04 FIBRAS,CENCOMEX,OPTILITE,
AE-109-16,2016,22/11/2016,ACCESORIOS,PABELLON,,02 CABLE CONECTOR SpO2; 02 CABLE MULTIMED,DRAGUER,DRAGUER,
AE-110-16,2016,24-11-2016,EQUIPO,UPC ADULTO,,01 CAMA ELECTROMECANICA REPARADA,S/P,JOSON-CARE,
AE-111-16,2016,28-11-2016,ACCESORIOS,UPC ADULTO,,03 SENSORES SpO2; 03 MANGOS PANI,ANDOVER,PHILIPS,
AE-112-16,2016,02-12-2016,ACCESORIO,PARTO,,01 TRANSDUCTOR TOCO,PV EQUIP,GENERIC ELECTRIC,
AE-113-16,2016,07-12-2016,ACCESORIO,BLOQUE QUIRURGICO,,02 MANGOS PANI; 01 MANGUERA PANI,ARQUIMED,NIHON KOHDEN,
AE-114-16,2016,07-12-2016,ACCESORIO,BLOQUE QUIRURGICO,,02 MANGOS PANI; 01 CABLE PODER,ARQUIMED,NIHON KOHDEN,
AE-115-16,2016,09-12-2016,EQUIPOS,SEDILE,,03 BOMBAS DE ALIMENTACION,FRESENIUS KABI,APPLIX SMART,
AE-116-16,2016,16-12-2016,ACCESORIOS,POLI INMUNOLOGIA,,02 PERAS INSUFLADORAS,S/P,S/M,
AE-117-16,2016,19-12-2016,EQUIPO,PABELLON,,01 INSUFLADOR ,S/P,STORZ,
AE-001-17,2017,04-01-2017,ACCESORIOS,MATERNIDAD,,01 OXIMETRO DE PULSO,PV EQUIP,MASIMO,SI 
AE-002-17,2017,19-01-2017,ACCESORIOS,PABELLON,,02 CLIPERAS,RUDOLF,RUDOLF,NO
AE-003-17,2017,25-01-2017,EQUIPO,NEONATOLOGIA,,01 INCUBADORA,PV EQUIP,GIRAFFE,SI
AE-004-17,2017,09-02-2017,EQUIPO,PARTO,,01 BOMBAS DE INFUSION,HOSPIRA,HOSPIRA,NO
AE-005-17,2017,09-02-2017,EQUIPO,UPC ADULTO,,03 BOMBAS DE INFUSION,HOSPIRA,HOSPIRA,NO
AE-006-17,2017,20-02-2017,EQUIPAMIENTO,PRE PARTO,,01 TUBO DE OXIGENO,INDURA,INDURA,SI
AE-007-17,2017,20-02-2017,EQUIPAMIENTO,POLI ALIVIO DOLOR,,03 TUBO DE OXIGENO,INDURA,INDURA,SI
AE-008-17,2017,27-02-2017,ACCESORIO,PABELLON,,01 ADAPTADOR DE SIERRA,SHYNTES ,SHYNTES CHILE,SI
AE-009-17,2017,03-03-2017,EQUIPO,NEONATOLOGIA,,01 BOMBA DE INFUSION,HOSPIRA,HOSPIRA,NO
AE-010-17,2017,09-03-2017,EQUIPO,POLI OFTALMOLOGICO,,01 ECOGRAFO OFTALMOLOGICO,NIDEK,ATM,SI
AE-011-17,2017,15-03-2017,ACCESORIOS,PABELLON,,"05 CABLE TRANSDUCTOR IBP, 06 CABLE ADAPTADOR IBP",DRAGUER/IQMEDICA,DRAGUER/CENCOMED,SI
AE-012-17,2017,16-03-2017,EQUIPAMIENTO,ESTERILIZACION,,01 CONTENEDOR INSTRUMENTAL,MEDICON TAINER,ARQUIMED,NO
AE-013-17,2017,16-03-2017,INSTRUMETAL,PABELLON,,01 CLIPERA,RUDOLFF,RUDOLFF,NO
AE-014-17,2017,17-03-2017,EQUIPO,UPC ADULTO,,01 VENTILADOR MECANICO,HAMILTON,IMEDICA,SI
AE-015-17,2017,20-03-2017,ACCESORIO,PABELLON,,01 SIERRA SAGITAL,SYNTHES,SYNTHES CHILE,NO
AE-016-17,2017,20-03-2017,EQUIPO,UCA,,02 BOMBAS DE ALIMENTACION,FRESENIUS KABI,FRESENIUS KABI CHILE,NO
AE-017-17,2017,20-03-2017,EQUIPO,PEDIATRIA,,01 ANALIZADOR DE OXIGENO DE PULSO,TELEDYNE,MEDCOM,SI
AE-018-17,2017,24-03-2017,EQUIPO,UPC ADULTO,,01 BOMBA DE INFUSION,HOSPIRA,HOSPIRA,NO
AE-019-17,2017,31-03-2017,EQUIPO,ENDOSCOPIA,,01 VIDEO BRONCOSCOPIO PEDIATRICO,FUJINON,ZEPEDA,SI
AE-020-17,2017,03-04-2017,EQUIPO,UPC ADULTO,,01 REGULADOR DE OXIGENO,CORPUS,INDURA,SI
AE-021-17,2017,03-04-2017,EQUIPO,SERVICIOS GENERALES,,01 REGULADOR DE OXIGENO,CORPUS,INDURA,SI
AE-022-17,2017,04-04-2017,EQUIPO,BLOQUE QUIRURGICO,,02 BOMBAS DE INFUSION,HOSPIRA,HOSPIRA,NO
AE-024-17,2017,07-04-2017,ACCESORIOS,UCPP PEDIATRIA,,06 CABLE CONECTOR PRESION INVASIVA,ICUMEDICAL,CENCOMEX,SI
AE-025-17,2017,07-04-2017,ACCESORIOS,NEONATOLOGIA,,04 CABLE CONECTOR PRESION INVASIVA,ICUMEDICAL,CENCOMEX,SI
AE-025-17,2017,07-04-2017,ACCESORIOS,UPC ADULTO,,16 CABLE CONECTOR PRESION INVASIVA,ICUMEDICAL,CENCOMEX,SI
AE-026-17,2017,07-04-2017,EQUIPO,BLOQUE QUIRURGICO,,02 BOMBAS DE INFUSION,HOSPIRA,HOSPIRA,NO
AE-027-17,2017,12-04-2017,EQUIPO,PABELLON,,01 REGULADOR DE OXIGENO,CORPUS,INDURA,SI
AE-028-17,2017,12-04-2017,EQUIPO,BLOQUE QUIRURGICO,,05 BOMBAS DE INFUSION,HOSPIRA,HOSPIRA,NO
AE-029-17,2017,13-04-2017,EQUIPO,PEDIATRIA,,02 BOMBAS DE INFUSION,HOSPIRA,HOSPIRA,NO
AE-030-17,2017,13-04-2017,ACCESORIO,UCP,,01 REGULADOR DE OXIGENO,CORPUS,INDURA,SI
AE-031-17,2017,17-04-2017,EQUIPO,PABELLON AMBULATORIO,,01 REGULADOR DE OXIGENO Y 01 FRASCO HUMIDIFICADOR,CORPUS,INDURA,SI
AE-032-17,2017,17-04-2017,EQUIPO,BLOQUE MEDICO,,01 REGULADOR DE OXIGENO,CORPUS,INDURA,SI
AE-033-17,2017,18-04-2017,EQUIPO,BLOQUE QUIRURGICO /UROLOGIA,,01 BOMBAS DE INFUSION,HOSPIRA,HOSPIRA,NO
AE-034-17,2017,20-04-2017,ACCESORIOS,PABELLON,,05 SENSOR DE SPO2,MEDKE,ABMEDIC,SI
AE-035-17,2017,24-04-2017,EQUIPO,BLOQUE QUIRURGICO,,03 REGULADORES DE OXIGENO,CORPUS,INDURA,SI
AE-036-17,2017,02-05-2017,EQUIPO,URGENCIA MATERNIDAD,,01 ECOGRAFO DE PRESTAMO,GENERIC ELECTRIC,HOSER,SI
AE-037-17,2017,03-05-2017,ACCESORIOS,ENDOSCOPIA,,"01 CARRO LAVADO, SET DE TRAQUEOTOMIA Y VARIOS",FUJINON,ZEPEDA,NO
AE-038-17,2017,03-05-2017,ACCESORIOS,NEONATOLOGIA,,06 SENSORES DE TEMPERATURA Y 08 CAJAS CON PARCHES REFLECTANTES,GIRAFFE,PV EQUIP,SI
AE-039-17,2017,05-05-2017,EQUIPO,POLI GINECOLOGIA,,"01 ECOGRAFO, 02 TRANSDUCTORES, 01 MONITOR LED Y 01 UPS",SIEMENS,ARQUIMED,SI
AE-040-17,2017,08-05-2017,EQUIPO,PABELLON,,09 TOMA DE VACIO ,MEDIMAXKOREA,MEDIMAXKOREA,SI
AE-041-17,2017,08-05-2017,ACCESORIOS,URGENCIA,,02 CABLE CONECTOR DE PRESION INVASIVA,ICUMEDICAL,CENCOMEX,SI
AE-042-17,2017,08-05-2017,EQUIPO,CDT,,01 MONITOR MULTIPARAMETRO,PHILIPS,ANDOVER,SI
AE-043-17,2017,09-05-2017,EQUIPO,UPC ADULTO,,01 REGULADOR DE OXIGENO DE ALTA A BAJA PRESION,HARRIS,INDURA,SI
AE-044-17,2017,09-05-2017,EQUIPO,UCE,,01 CONECTOR TRIPLE DE TRANSDUCTOR,FUJIFILM,IMEDICA,NO
AE-045-17,2017,09-05-2017,EQUIPO,UPC ADULTO,,01 MAQUINA DE DIALISIS,BBRAUN,BBRAUN MEDICAL ,SI
AE-046-17,2017,10-05-2017,EQUIPO,POLICLINICO DEL DOLOR,,01 REGULADOR DE OXIGENO,CORPUS,INDURA,SI
AE-047-17,2017,11-05-2017,EQUIPO,PARTO,,01 TRANSDUCTOR US,GENERIC ELECTRIC,PV EQUIP,SI
